,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187
eğitim düzeyi,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,ilkokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Ortaokul,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Lise,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksekokul Veya Fakülte,Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil),Doktora,Doktora,Doktora,Doktora,Doktora,Doktora,Doktora,Doktora,Doktora,Doktora,Doktora,Doktora,Doktora,Doktora,Doktora,Doktora,Doktora,Doktora,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen,Okuma Yazma Bilmeyen
Yıl,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017,2016,2017
Adana-1,145259,143317,2851,2168,6982,5499,7834,6455,11891,10302,6118,6273,5452,5527,4669,4499,4507,4665,5962,5481,6219,6232,8305,7858,24121,24392,150571,150341,23716,52597,1604,2058,930,1225,4416,3379,31916,27172,41150,39287,40723,39884,38536,39592,46842,43908,43005,44226,43476,42938,62301,66752,162,1,115680,90837,9804,17284,166,246,381,201,15552,7595,20548,21870,20300,20425,18680,20025,16424,16961,10108,11081,7903,8288,8327,9221,9120,800,74131,74594,32856,33387,40927,38428,48461,47501,51541,51774,37783,41022,27914,29921,27147,26845,19006,21427,12007,12780,10306,11873,4836,5278,25309,24986,49236,50578,40321,40645,32429,32981,24433,25976,16066,17544,11804,12310,8173,8467,7340,7490,8877,9848,7,322,953,2630,2329,3861,3380,4476,2411,2836,1871,2139,1275,1478,629,737,408,440,436,483,29,35,240,276,534,601,657,788,640,738,556,629,293,344,192,222,257,293,574,157,52,10,495,327,1154,806,3035,2438,3084,2877,3008,2844,2912,2684,3180,3156,4778,4253,5846,5583,8809,8060,41268,40526
Adıyaman-2,45196,45084,786,574,1588,1275,1717,1397,2925,2518,1074,1095,1013,952,1224,1125,1587,1574,2057,1979,1929,2059,2474,2319,6767,7055,48575,48679,7674,17041,377,411,164,181,1217,592,10099,8567,13474,12957,12564,12518,10911,11538,11204,10861,8446,9064,7972,8022,10907,11848,113,3,37924,29698,3725,6289,24,70,105,41,4829,2324,6132,6536,5154,5264,4100,4555,3484,3653,1683,1995,1102,1175,977,1124,3111,491,24941,24259,9957,9994,10312,9666,10752,10961,9864,10177,6571,7257,4185,4721,3739,3851,2218,2591,1145,1286,971,1098,1637,1633,7732,7989,15102,15214,10038,10447,7465,7632,4056,4511,2372,2661,1571,1639,945,1005,785,841,444,530,2,67,192,654,545,930,683,962,329,446,191,250,106,129,48,52,25,30,16,17,12,8,81,119,126,213,124,161,84,114,66,79,24,29,10,14,9,16,112,38,15,2,51,42,116,89,354,287,438,421,579,513,742,677,1277,1112,2264,1987,3015,2805,4903,4383,22982,22872
Afyonkarahisar-3,40819,39813,802,727,1219,1064,1157,904,1322,1190,463,444,355,362,556,459,904,862,1595,1392,2166,2150,3522,3201,13653,13467,44596,44687,7339,15146,176,202,61,111,1094,315,12580,10494,15724,14814,16619,16135,18095,18128,22400,20677,21902,23362,21356,20716,39548,41185,39,1,33829,27568,1970,4343,16,33,101,14,5346,2644,6929,7547,6286,6404,6015,6380,5073,5258,3068,3498,2260,2350,2280,2512,3653,278,30422,29969,10736,10900,12328,11684,12459,12674,12753,12832,8168,9163,6388,6821,5728,5673,4027,4652,2586,2753,2071,2382,1727,1663,7997,7801,13763,13932,10383,10356,7738,7867,5113,5500,3924,4166,2885,2959,2203,2243,1971,2094,1518,1723,4,128,472,1000,976,1449,872,1178,514,622,346,379,172,210,106,109,81,83,58,68,20,25,111,167,246,314,208,255,238,266,109,143,36,55,29,35,30,34,146,42,15,8,36,28,124,79,282,226,319,294,306,300,257,247,391,363,740,628,1021,979,1900,1650,13611,13006
Ağrı-4,49797,48693,4197,2434,10450,8244,7672,7331,9944,9533,4769,4993,3707,3897,2876,2696,2070,2348,2756,2502,1940,2103,2166,2142,4015,4095,51834,50400,17487,25890,1760,2727,444,716,1995,1832,9937,8736,12151,12379,10325,9701,6150,7393,7692,6981,4501,5147,4325,4344,4652,4972,323,7,32231,23575,6363,9552,30,157,97,55,2068,1001,2925,3178,2538,2435,1463,1782,1521,1447,719,892,571,587,405,454,1172,549,13356,13748,6535,6702,6125,6272,4434,4424,4167,4289,2931,2994,1569,1813,1641,1524,904,1059,543,586,369,427,869,854,4911,4895,10408,10494,4736,4856,2539,2688,1251,1291,614,741,553,529,269,295,208,217,114,131,1,32,175,519,309,539,210,303,98,129,45,53,36,32,19,21,12,17,11,12,8,12,40,73,75,92,52,63,28,33,37,42,17,24,14,16,11,9,71,18,7,4,106,62,1237,654,3089,2624,2807,2532,2945,2825,2595,2282,2005,2215,3237,2764,2742,2888,4273,3941,11791,11689
Aksaray-68,26268.0,25887.0,797.0,738.0,964.0,853.0,673.0,621.0,623.0,565.0,256.0,264.0,237.0,216.0,315.0,278.0,436.0,443.0,894.0,801.0,1052.0,1032.0,1645.0,1521.0,5981.0,6034.0,26874.0,27267.0,5004.0,9414.0,98.0,114.0,49.0,71.0,676.0,119.0,7591.0,6244.0,9668.0,9157.0,9926.0,9707.0,9064.0,9540.0,11311.0,10651.0,9087.0,9630.0,8539.0,8594.0,13348.0,14165.0,20.0,,20114.0,16087.0,1097.0,2195.0,7.0,15.0,72.0,10.0,3177.0,1583.0,4307.0,4829.0,3768.0,3853.0,2793.0,3296.0,2605.0,2707.0,1397.0,1575.0,945.0,1016.0,833.0,949.0,1823.0,192.0,15538.0,16593.0,5659.0,5942.0,6508.0,6203.0,6502.0,6615.0,6360.0,6489.0,4269.0,4661.0,2673.0,3129.0,2213.0,2162.0,1367.0,1571.0,800.0,844.0,665.0,744.0,794.0,865.0,4226.0,4198.0,7271.0,7739.0,4968.0,5068.0,4172.0,4314.0,2897.0,3024.0,1781.0,1982.0,1158.0,1236.0,675.0,697.0,612.0,608.0,591.0,689.0,2.0,65.0,268.0,437.0,453.0,717.0,507.0,697.0,325.0,368.0,154.0,204.0,86.0,87.0,34.0,36.0,23.0,22.0,14.0,15.0,7.0,25.0,97.0,133.0,155.0,182.0,111.0,140.0,97.0,118.0,30.0,52.0,13.0,20.0,14.0,12.0,16.0,21.0,103.0,38.0,3.0,1.0,14.0,8.0,69.0,49.0,167.0,155.0,205.0,174.0,227.0,229.0,259.0,236.0,355.0,335.0,714.0,598.0,978.0,964.0,1590.0,1467.0,11328.0,10967.0
Amasya-5,15938.0,15966.0,76.0,66.0,174.0,203.0,199.0,170.0,300.0,281.0,133.0,157.0,112.0,111.0,134.0,107.0,198.0,177.0,497.0,429.0,812.0,751.0,1610.0,1417.0,9671.0,9524.0,17556.0,17348.0,1453.0,5401.0,56.0,70.0,22.0,37.0,184.0,102.0,3352.0,2674.0,4968.0,4681.0,5810.0,5414.0,6759.0,6831.0,10394.0,9463.0,10384.0,11079.0,11217.0,10725.0,22526.0,23506.0,12.0,,16214.0,13048.0,1018.0,1961.0,8.0,15.0,29.0,7.0,2319.0,1200.0,3389.0,3527.0,3198.0,3239.0,2889.0,3117.0,2813.0,2906.0,1656.0,1909.0,1399.0,1419.0,1513.0,1670.0,1638.0,105.0,14537.0,14713.0,5099.0,5416.0,6337.0,6025.0,6561.0,6766.0,6841.0,6926.0,4874.0,5306.0,3540.0,3816.0,3531.0,3428.0,2392.0,2844.0,1463.0,1522.0,1302.0,1489.0,850.0,901.0,4050.0,4240.0,7902.0,8039.0,5730.0,5921.0,4762.0,4853.0,3589.0,3681.0,2577.0,2804.0,1959.0,1982.0,1470.0,1488.0,1375.0,1456.0,1081.0,1253.0,1.0,64.0,206.0,384.0,391.0,593.0,421.0,557.0,264.0,322.0,194.0,224.0,118.0,123.0,57.0,65.0,37.0,37.0,27.0,37.0,6.0,33.0,54.0,103.0,86.0,121.0,59.0,77.0,52.0,73.0,43.0,61.0,16.0,24.0,14.0,19.0,16.0,20.0,131.0,35.0,,,2.0,5.0,45.0,22.0,92.0,85.0,125.0,113.0,150.0,155.0,129.0,121.0,142.0,137.0,312.0,284.0,458.0,422.0,898.0,781.0,8178.0,7767.0
Ankara-6,293199,289790,2337,2106,4464,3547,4715,3795,7676,6707,3079,3240,2454,2457,2362,2155,3188,3169,5881,5135,7715,7512,12107,11224,46461,46924,301844,305401,27101,91647,1096,1324,559,753,5292,3104,52383,42349,69838,65383,78903,76202,82648,83939,108812,101059,100398,104721,95132,94987,165755,174448,152,3,259874,205934,15891,28093,72,204,416,190,37503,18618,48952,52898,49844,49873,47168,50752,43557,44474,26502,29581,20158,20890,28657,30825,18297,1062,222007,233689,103388,107956,121390,115239,135465,133766,146414,146752,110062,118506,82019,89704,73381,72813,53574,59851,34593,37091,43018,47197,10218,11213,76584,79065,180854,182154,148440,147735,122857,123940,98762,102421,78223,83059,64528,66021,48370,50502,38837,41006,48804,53674,36,1331,12071,17544,22100,28592,22315,26553,15714,17858,12160,13585,8404,9256,4737,5301,3414,3654,5075,5641,630,428,3754,3999,5138,5803,4782,5639,4651,5020,4030,4418,2684,3073,1844,2066,3231,3533,1227,356,11,3,147,71,724,470,2053,1727,1961,1882,1979,1959,1872,1686,2524,2469,4768,4067,6497,6241,11687,10414,66959,65659
Antalya-7,133514.0,132469.0,1504.0,1319.0,2555.0,2190.0,2726.0,2206.0,4665.0,3895.0,2511.0,2418.0,2112.0,2146.0,2181.0,1954.0,2627.0,2650.0,4456.0,3882.0,5819.0,5711.0,8981.0,8369.0,38770.0,38563.0,135713.0,137249.0,17739.0,45297.0,568.0,672.0,388.0,491.0,2848.0,1511.0,32252.0,25914.0,46520.0,43293.0,51019.0,49162.0,49838.0,51430.0,59082.0,55549.0,51597.0,54505.0,47601.0,47794.0,78001.0,82968.0,87.0,,110942.0,84791.0,9082.0,14764.0,53.0,116.0,292.0,111.0,18819.0,9277.0,23741.0,25901.0,21991.0,22400.0,18638.0,20345.0,15542.0,16328.0,9278.0,10292.0,6835.0,7369.0,7861.0,8675.0,4812.0,570.0,73537.0,78922.0,33060.0,34757.0,47558.0,45703.0,55642.0,55658.0,59728.0,60444.0,45341.0,49548.0,34326.0,38077.0,29376.0,30058.0,19873.0,22815.0,12164.0,13335.0,12859.0,14586.0,4960.0,5249.0,26197.0,26417.0,55564.0,56365.0,49369.0,50114.0,43145.0,44515.0,33006.0,35531.0,23421.0,25862.0,17928.0,18754.0,12997.0,13796.0,11425.0,12190.0,12676.0,14322.0,4.0,343.0,1361.0,2984.0,2917.0,4474.0,3667.0,4959.0,2568.0,3142.0,2187.0,2483.0,1594.0,1803.0,896.0,1036.0,637.0,730.0,709.0,859.0,45.0,61.0,389.0,494.0,702.0,860.0,769.0,946.0,744.0,881.0,535.0,662.0,331.0,367.0,193.0,229.0,325.0,357.0,1414.0,475.0,12.0,7.0,56.0,42.0,297.0,198.0,949.0,751.0,864.0,827.0,845.0,872.0,756.0,738.0,805.0,841.0,1294.0,1118.0,1540.0,1576.0,2194.0,2078.0,15972.0,15475.0
Ardahan-75,5192.0,5099.0,39.0,30.0,153.0,116.0,215.0,155.0,379.0,265.0,206.0,239.0,111.0,112.0,112.0,98.0,113.0,126.0,225.0,186.0,248.0,262.0,474.0,431.0,1956.0,1925.0,6859.0,6532.0,600.0,1959.0,46.0,44.0,10.0,15.0,157.0,94.0,1445.0,1181.0,2222.0,2079.0,2396.0,2214.0,1819.0,2056.0,2626.0,2345.0,1978.0,2193.0,2279.0,2199.0,4790.0,4915.0,21.0,,5950.0,4375.0,523.0,913.0,1.0,8.0,12.0,3.0,576.0,329.0,971.0,962.0,967.0,971.0,797.0,913.0,810.0,811.0,430.0,496.0,321.0,349.0,356.0,385.0,310.0,119.0,3940.0,3905.0,1690.0,1776.0,1478.0,1526.0,1384.0,1368.0,1567.0,1550.0,1213.0,1260.0,837.0,945.0,864.0,844.0,559.0,666.0,382.0,397.0,315.0,336.0,268.0,285.0,1268.0,1265.0,2529.0,2336.0,1569.0,1498.0,863.0,868.0,532.0,546.0,269.0,331.0,195.0,202.0,107.0,113.0,131.0,127.0,147.0,152.0,,29.0,85.0,187.0,136.0,203.0,76.0,123.0,48.0,39.0,16.0,26.0,11.0,11.0,8.0,4.0,4.0,8.0,8.0,7.0,2.0,8.0,37.0,54.0,27.0,49.0,22.0,28.0,12.0,17.0,7.0,4.0,9.0,13.0,4.0,3.0,4.0,7.0,8.0,3.0,,,14.0,7.0,33.0,23.0,81.0,65.0,108.0,85.0,111.0,112.0,113.0,80.0,142.0,136.0,302.0,250.0,356.0,373.0,738.0,633.0,4075.0,3910.0
Artvin-8,6981.0,6830.0,32.0,28.0,111.0,80.0,50.0,55.0,97.0,92.0,47.0,47.0,74.0,67.0,69.0,64.0,111.0,111.0,270.0,218.0,422.0,389.0,812.0,741.0,4745.0,4553.0,8229.0,8043.0,528.0,2348.0,31.0,20.0,10.0,18.0,79.0,25.0,1017.0,780.0,1630.0,1431.0,2268.0,2033.0,2616.0,2648.0,4102.0,3606.0,4109.0,4138.0,5437.0,5233.0,13323.0,13307.0,6.0,,8093.0,6071.0,605.0,862.0,4.0,7.0,13.0,4.0,1071.0,490.0,1591.0,1685.0,1778.0,1701.0,2032.0,2101.0,1851.0,1919.0,1175.0,1311.0,806.0,885.0,879.0,918.0,365.0,53.0,7608.0,7668.0,3208.0,3138.0,3676.0,3537.0,3797.0,3729.0,4088.0,4010.0,3354.0,3561.0,2862.0,3063.0,3001.0,2912.0,2097.0,2421.0,1439.0,1546.0,1085.0,1232.0,484.0,463.0,2459.0,2408.0,5103.0,4944.0,3666.0,3622.0,2334.0,2375.0,1534.0,1564.0,1229.0,1298.0,903.0,911.0,634.0,654.0,656.0,677.0,790.0,808.0,,29.0,137.0,306.0,224.0,380.0,191.0,261.0,125.0,140.0,68.0,82.0,47.0,57.0,23.0,27.0,41.0,34.0,29.0,35.0,2.0,26.0,55.0,88.0,63.0,106.0,43.0,53.0,30.0,38.0,17.0,17.0,6.0,7.0,11.0,12.0,10.0,13.0,30.0,10.0,,,4.0,1.0,15.0,8.0,72.0,57.0,65.0,64.0,76.0,82.0,89.0,73.0,107.0,112.0,205.0,164.0,280.0,268.0,521.0,460.0,4463.0,4200.0
Aydın-9,52830.0,52293.0,641.0,496.0,1423.0,1175.0,1481.0,1232.0,2235.0,1952.0,1300.0,1309.0,1187.0,1163.0,1139.0,1080.0,1285.0,1255.0,2255.0,1999.0,2987.0,2847.0,4612.0,4286.0,27966.0,27258.0,56266.0,56855.0,8620.0,19293.0,207.0,320.0,121.0,199.0,1337.0,586.0,15489.0,12711.0,20697.0,19501.0,22874.0,21989.0,24968.0,24627.0,32621.0,30098.0,35565.0,35891.0,34347.0,34773.0,63180.0,66542.0,33.0,,47448.0,36905.0,3590.0,6061.0,14.0,36.0,128.0,34.0,7272.0,3593.0,9138.0,10220.0,8685.0,8867.0,8315.0,9023.0,7178.0,7574.0,4985.0,5570.0,3881.0,4187.0,4790.0,5335.0,2095.0,209.0,37622.0,37925.0,15450.0,16155.0,18202.0,17778.0,19646.0,19795.0,21267.0,21746.0,16176.0,17696.0,12918.0,14140.0,12094.0,12107.0,9938.0,11139.0,6478.0,7090.0,6619.0,7489.0,2311.0,2643.0,12371.0,12587.0,23421.0,23687.0,17932.0,18249.0,15184.0,15754.0,12160.0,12786.0,9705.0,10412.0,7856.0,8276.0,6702.0,6889.0,6231.0,6679.0,6754.0,7493.0,4.0,183.0,721.0,1437.0,1213.0,1858.0,1367.0,1873.0,969.0,1175.0,786.0,900.0,586.0,653.0,334.0,398.0,231.0,265.0,288.0,315.0,22.0,30.0,146.0,199.0,331.0,390.0,393.0,477.0,354.0,400.0,264.0,313.0,120.0,157.0,71.0,86.0,117.0,120.0,325.0,82.0,1.0,,17.0,14.0,160.0,98.0,492.0,398.0,466.0,474.0,456.0,443.0,446.0,417.0,514.0,511.0,824.0,726.0,1111.0,1086.0,1717.0,1568.0,15238.0,14549.0
Balıkesir-10,51674,51440,573,478,1254,1007,1111,985,1606,1426,881,900,807,746,870,837,1048,1012,1953,1692,2954,2794,5123,4512,30745,29957,58014,57729,5778,18020,276,343,98,193,1035,479,14336,11459,20795,19182,25782,24615,31001,30100,40074,37637,44093,44486,43793,42995,87764,91808,22,1,50873,40370,3350,6095,15,48,97,17,7589,3734,11051,11875,11088,11309,10660,11177,9027,9739,6344,6898,5109,5386,7424,8033,4490,217,42785,43961,17337,17863,21263,20444,22794,22894,25271,25490,19993,21388,16369,17568,15275,15343,12645,14082,8060,8710,10424,11230,2776,3156,14168,14268,28127,28582,20931,21826,17491,17995,14131,14989,11020,11753,9196,9568,7926,8154,6914,7424,8283,8804,3,202,658,1416,1274,1996,1550,2058,1041,1312,906,974,624,699,369,422,312,347,418,448,22,44,157,188,324,388,316,369,323,388,228,250,101,128,91,99,155,162,337,95,14,6,64,48,178,119,469,403,501,472,524,503,575,562,656,619,1010,910,1395,1344,2257,1948,18805,17791
