,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187
Erzincan-24,10986.0,11184.0,130.0,101.0,300.0,255.0,234.0,206.0,344.0,311.0,161.0,207.0,213.0,213.0,200.0,196.0,223.0,256.0,538.0,466.0,655.0,720.0,1057.0,1048.0,4146.0,4579.0,11992.0,11912.0,1320.0,3915.0,69.0,94.0,24.0,41.0,252.0,102.0,2096.0,1797.0,3136.0,2855.0,3686.0,3517.0,3716.0,3808.0,4951.0,4619.0,4655.0,4742.0,5174.0,5108.0,10977.0,10935.0,11.0,1.0,11079.0,8619.0,751.0,1500.0,8.0,19.0,21.0,9.0,1311.0,662.0,1936.0,2087.0,2130.0,2137.0,1937.0,2143.0,1844.0,1885.0,1117.0,1281.0,778.0,824.0,953.0,1057.0,943.0,167.0,13621.0,15761.0,5364.0,5973.0,4785.0,4736.0,4744.0,4696.0,4695.0,4792.0,3290.0,3547.0,2378.0,2638.0,2117.0,2151.0,1416.0,1682.0,765.0,825.0,690.0,787.0,897.0,928.0,4189.0,4540.0,7105.0,7741.0,4715.0,4763.0,3412.0,3434.0,2246.0,2362.0,1474.0,1603.0,914.0,965.0,623.0,663.0,574.0,597.0,459.0,517.0,,49.0,206.0,461.0,449.0,614.0,382.0,441.0,241.0,243.0,146.0,167.0,73.0,78.0,38.0,45.0,46.0,36.0,36.0,43.0,12.0,24.0,79.0,165.0,109.0,207.0,78.0,96.0,55.0,88.0,42.0,46.0,17.0,27.0,25.0,31.0,14.0,19.0,93.0,20.0,,,2.0,2.0,57.0,18.0,137.0,118.0,153.0,123.0,238.0,189.0,242.0,217.0,274.0,260.0,579.0,438.0,826.0,759.0,1437.0,1224.0,8238.0,7244.0
Erzurum-25,49315,48662,1049,717,3241,2421,3118,2785,4131,3759,2006,2148,1960,1954,1853,1735,1717,1835,2704,2372,2271,2442,3220,3062,10621,10426,57260,55238,14447,24055,827,1190,190,296,1823,884,12565,10978,15645,14998,15367,14615,12079,13323,15661,14057,11138,12346,12368,12052,22125,22658,186,13,41764,31879,3929,6796,30,78,88,30,4111,2158,5789,6126,5700,5621,4986,5550,4577,4669,2432,2908,1960,2016,2392,2582,2543,682,38318,38952,16101,16859,13454,13132,12418,12401,12439,12501,9039,9753,6302,6972,5699,5597,3495,4061,2311,2450,2149,2383,1577,1537,9446,9832,20120,19500,13049,13152,8691,8642,5380,5737,3708,4043,2641,2635,1619,1769,1405,1466,1093,1226,5,226,743,1852,1295,2056,1179,1574,653,711,346,403,218,226,130,140,97,105,62,71,31,63,244,392,412,530,420,488,374,419,298,307,153,187,97,108,94,97,123,27,37,16,136,85,490,334,1380,1086,1469,1319,1738,1626,1724,1517,1608,1673,2913,2402,2870,3012,4771,4247,21713,20903
Eskişehir-26,38227.0,38268.0,324.0,306.0,688.0,582.0,678.0,609.0,973.0,903.0,474.0,503.0,362.0,374.0,369.0,347.0,390.0,388.0,739.0,628.0,853.0,869.0,1441.0,1318.0,9160.0,8864.0,40695.0,41144.0,3514.0,12759.0,135.0,194.0,70.0,130.0,547.0,407.0,6720.0,5660.0,9665.0,9034.0,11590.0,11117.0,14409.0,14035.0,20624.0,18672.0,22549.0,23548.0,24225.0,23176.0,51536.0,53864.0,14.0,,36066.0,28706.0,2377.0,4199.0,12.0,25.0,50.0,22.0,4654.0,2251.0,7222.0,7717.0,7972.0,8050.0,8065.0,8380.0,7524.0,7806.0,5223.0,5670.0,4018.0,4256.0,5248.0,5713.0,3054.0,193.0,41804.0,43090.0,20735.0,21746.0,21558.0,20554.0,22028.0,21932.0,22679.0,23020.0,17723.0,18971.0,13590.0,14768.0,12145.0,12043.0,9301.0,10473.0,5389.0,5906.0,5861.0,6543.0,1600.0,1693.0,12877.0,11992.0,26937.0,27199.0,20674.0,21021.0,16378.0,16707.0,12621.0,13509.0,9468.0,10123.0,7161.0,7584.0,5190.0,5410.0,4486.0,4766.0,4636.0,5232.0,7.0,193.0,1357.0,1973.0,2306.0,3133.0,2225.0,2759.0,1556.0,1833.0,1153.0,1274.0,718.0,791.0,396.0,443.0,229.0,226.0,190.0,234.0,75.0,61.0,418.0,464.0,712.0,767.0,694.0,803.0,641.0,723.0,440.0,533.0,269.0,315.0,181.0,206.0,222.0,243.0,303.0,102.0,7.0,3.0,34.0,25.0,142.0,81.0,372.0,318.0,401.0,382.0,370.0,345.0,399.0,376.0,400.0,395.0,691.0,598.0,887.0,903.0,1402.0,1253.0,10789.0,10355.0
Gaziantep-27,167971,166892,3819,2804,8624,6764,8884,7124,13426,10324,5062,5452,3757,3656,3567,3393,4109,4098,5909,5479,5528,5647,6392,6105,16778,17228,166114,169788,30445,58938,2082,2586,939,1566,5813,5200,40389,34462,48100,47279,41931,43020,33088,35143,36518,35110,25991,28171,22646,22577,31846,34313,162,2,114783,89015,10140,18892,242,391,406,264,14258,6927,16965,18897,14641,15356,11481,12902,9481,9816,5342,6089,3512,3711,3408,3854,6062,856,58010,63273,24647,27107,30401,29603,30600,31726,28859,29395,19035,21005,12238,13550,10232,10288,6598,7519,3950,4238,3191,3685,3649,3804,19063,19242,37602,39456,25829,26712,19439,19941,12753,13710,7435,8299,4656,4932,2982,3142,2687,2762,2828,3131,9,227,1014,2228,1969,3130,2176,2878,1364,1603,894,1080,521,560,225,259,147,163,157,174,22,46,218,269,459,558,415,487,363,403,253,316,124,144,63,74,74,81,312,73,11,3,85,49,457,281,1519,1223,1433,1348,1573,1481,1856,1662,2572,2382,4468,3983,5518,5216,8338,7557,38229,37638
Giresun-28,19531.0,18618.0,246.0,251.0,339.0,287.0,236.0,196.0,468.0,373.0,243.0,238.0,251.0,245.0,349.0,279.0,591.0,570.0,1508.0,1239.0,2486.0,2301.0,4640.0,4302.0,23064.0,22467.0,22939.0,21793.0,1450.0,6522.0,50.0,53.0,25.0,25.0,343.0,135.0,4000.0,3170.0,6283.0,5596.0,7765.0,7074.0,8683.0,8541.0,12678.0,11646.0,13262.0,13344.0,12787.0,13067.0,22254.0,22610.0,17.0,,22678.0,17141.0,1374.0,2017.0,2.0,8.0,45.0,10.0,2844.0,1399.0,3984.0,4172.0,4160.0,4098.0,4169.0,4193.0,4088.0,4220.0,2705.0,2923.0,2063.0,2227.0,1954.0,2114.0,1370.0,158.0,21798.0,21059.0,7795.0,7737.0,8246.0,7880.0,8549.0,8384.0,8932.0,8855.0,6567.0,6925.0,5343.0,5504.0,5704.0,5510.0,4028.0,4491.0,2396.0,2582.0,1769.0,1982.0,1674.0,1710.0,6830.0,6696.0,10707.0,10969.0,7199.0,7231.0,5188.0,5361.0,3912.0,3984.0,2737.0,2844.0,2239.0,2267.0,2133.0,2083.0,1821.0,1937.0,1582.0,1737.0,2.0,84.0,258.0,577.0,453.0,711.0,460.0,598.0,307.0,410.0,242.0,255.0,174.0,178.0,118.0,119.0,94.0,104.0,74.0,74.0,6.0,26.0,93.0,159.0,150.0,214.0,110.0,148.0,88.0,129.0,81.0,95.0,27.0,39.0,21.0,29.0,26.0,32.0,112.0,40.0,6.0,5.0,2.0,2.0,55.0,31.0,191.0,149.0,266.0,246.0,294.0,278.0,319.0,269.0,419.0,411.0,928.0,780.0,1507.0,1373.0,2828.0,2610.0,14972.0,14354.0
Gümüşhane-29,10320.0,9062.0,885.0,1164.0,847.0,872.0,368.0,475.0,223.0,232.0,82.0,88.0,84.0,69.0,125.0,117.0,158.0,148.0,406.0,328.0,537.0,507.0,999.0,879.0,4095.0,3916.0,8142.0,7360.0,814.0,2346.0,22.0,33.0,15.0,14.0,151.0,42.0,1666.0,1271.0,2381.0,2052.0,3059.0,2607.0,2992.0,2959.0,4226.0,3648.0,3665.0,3634.0,3922.0,3849.0,7071.0,7029.0,4.0,,7463.0,5339.0,521.0,758.0,1.0,4.0,19.0,3.0,945.0,451.0,1522.0,1513.0,1594.0,1469.0,1369.0,1477.0,1347.0,1308.0,770.0,820.0,551.0,604.0,452.0,469.0,549.0,103.0,12022.0,11544.0,4580.0,4723.0,3522.0,3202.0,3360.0,3251.0,3136.0,2994.0,2193.0,2235.0,1576.0,1686.0,1590.0,1546.0,985.0,1136.0,541.0,534.0,467.0,514.0,788.0,730.0,3376.0,3443.0,5057.0,5329.0,2679.0,2708.0,1611.0,1596.0,1051.0,1034.0,718.0,740.0,602.0,626.0,439.0,433.0,336.0,370.0,328.0,336.0,,45.0,176.0,296.0,246.0,355.0,165.0,206.0,84.0,98.0,49.0,64.0,32.0,31.0,21.0,26.0,14.0,16.0,10.0,11.0,11.0,25.0,62.0,98.0,87.0,110.0,57.0,73.0,27.0,25.0,17.0,34.0,5.0,5.0,5.0,6.0,8.0,9.0,22.0,12.0,1.0,,1.0,1.0,27.0,10.0,67.0,54.0,70.0,61.0,78.0,74.0,84.0,78.0,85.0,96.0,219.0,174.0,328.0,299.0,628.0,579.0,4604.0,4291.0
Hakkari-30,22828,22021,1333,1302,2424,1870,1789,1712,2914,2914,2213,2353,2456,2692,1474,1617,1097,1205,1256,1297,907,1008,771,804,1399,1496,23882,23751,5184,9571,524,658,129,169,524,287,3458,2897,5209,5280,3725,3788,2471,2759,2815,2736,1699,1870,1326,1381,1552,1679,422,24,17457,13237,2923,4050,13,91,45,24,1205,604,1653,1871,1181,1253,751,872,667,697,383,429,251,272,205,223,903,669,10107,10931,6313,7939,7787,9122,4361,4530,3659,3937,2043,2220,1076,1315,1003,964,534,616,327,350,332,361,731,753,3828,3984,8153,8426,3468,3797,1713,1997,873,975,378,511,329,334,169,177,86,102,43,43,1,17,112,235,172,279,145,195,74,74,26,36,10,11,10,8,4,6,4,4,2,8,14,41,15,40,10,22,11,13,11,12,7,5,2,3,5,4,16,10,110,57,334,230,516,408,1194,959,1545,1232,1989,1797,1259,1211,1161,1064,1613,1482,1344,1308,1485,1458,4733,4683
Hatay-31,113595.0,112645.0,2090.0,1723.0,4465.0,3625.0,4097.0,3568.0,5319.0,4879.0,2868.0,3006.0,2600.0,2580.0,2772.0,2493.0,3953.0,3761.0,6689.0,6079.0,8071.0,7986.0,11165.0,10597.0,37161.0,36981.0,120753.0,121919.0,16936.0,39883.0,666.0,903.0,353.0,546.0,3102.0,1465.0,28146.0,24291.0,39597.0,37469.0,40747.0,40048.0,36539.0,38203.0,40739.0,39553.0,31163.0,33551.0,26976.0,27590.0,36460.0,39091.0,111.0,,90307.0,71064.0,5338.0,10176.0,57.0,130.0,288.0,85.0,11726.0,6088.0,15650.0,16670.0,13336.0,13889.0,11808.0,12620.0,9956.0,10566.0,5509.0,6292.0,3736.0,4052.0,3477.0,3900.0,5315.0,694.0,50812.0,51452.0,19861.0,20364.0,25607.0,24071.0,26801.0,27491.0,26858.0,26974.0,17760.0,19909.0,13187.0,14059.0,13192.0,13091.0,9043.0,10402.0,4978.0,5514.0,3935.0,4554.0,3735.0,4070.0,16649.0,16970.0,32139.0,32704.0,24039.0,24813.0,19089.0,19386.0,13127.0,14157.0,8139.0,9018.0,5510.0,5757.0,4216.0,4175.0,4062.0,4312.0,3463.0,3922.0,3.0,162.0,515.0,1444.0,1263.0,2121.0,1591.0,2375.0,908.0,1132.0,658.0,787.0,417.0,462.0,241.0,270.0,173.0,194.0,171.0,190.0,12.0,30.0,112.0,173.0,267.0,324.0,340.0,378.0,309.0,379.0,199.0,249.0,75.0,106.0,57.0,71.0,54.0,64.0,477.0,166.0,12.0,6.0,69.0,46.0,328.0,212.0,951.0,792.0,941.0,905.0,951.0,923.0,896.0,870.0,1203.0,1135.0,2249.0,1944.0,2967.0,2905.0,4238.0,4028.0,17202.0,16952.0
Iğdır-76,14877,14887,564,393,1475,1183,1190,1101,1649,1483,1189,1234,1023,1028,860,818,660,760,918,831,796,874,955,913,2240,2289,15983,15679,3124,6169,176,261,70,139,405,317,2667,2376,3853,3796,3345,3287,2241,2602,2739,2552,2022,2170,2058,2027,2903,3191,166,4,12509,9493,1606,2467,4,25,38,17,875,492,1553,1556,1252,1243,1014,1133,923,932,570,624,433,454,356,393,453,241,5841,6313,2678,2802,2822,2803,2655,2713,2606,2623,1909,1976,1303,1499,1199,1176,804,907,466,475,285,335,433,469,2131,2286,4472,4561,2850,2964,1781,1822,953,1047,579,618,399,410,248,257,240,250,121,154,2,19,89,234,182,310,157,218,83,98,61,72,31,32,17,16,20,20,8,10,2,5,26,45,28,60,28,37,12,24,20,22,6,13,5,5,7,10,31,17,30,15,118,89,247,161,644,525,793,698,890,841,835,765,651,693,1044,912,1087,1092,1538,1445,5017,5038
Isparta-32,21499.0,20956.0,354.0,322.0,424.0,479.0,251.0,235.0,385.0,338.0,177.0,174.0,126.0,132.0,150.0,138.0,220.0,188.0,439.0,372.0,730.0,701.0,1283.0,1174.0,8202.0,7918.0,22461.0,22325.0,2297.0,7155.0,48.0,91.0,23.0,37.0,263.0,101.0,3472.0,2729.0,5452.0,4952.0,6701.0,6353.0,8283.0,8080.0,11556.0,10575.0,12929.0,13160.0,14027.0,13563.0,27414.0,28629.0,13.0,,18542.0,14963.0,1185.0,2603.0,6.0,17.0,25.0,7.0,2689.0,1401.0,3829.0,3939.0,3844.0,3781.0,3678.0,3923.0,3332.0,3451.0,2254.0,2402.0,1620.0,1771.0,1847.0,1991.0,2273.0,126.0,25605.0,26105.0,8518.0,9347.0,9106.0,8579.0,9388.0,9426.0,9896.0,9918.0,7145.0,7773.0,5479.0,5898.0,4907.0,4877.0,3463.0,4022.0,2187.0,2317.0,2166.0,2424.0,1263.0,1546.0,5990.0,6393.0,10991.0,11223.0,8449.0,8492.0,6783.0,6885.0,5503.0,5711.0,3893.0,4181.0,3154.0,3189.0,2510.0,2650.0,2089.0,2191.0,1960.0,2209.0,2.0,112.0,477.0,996.0,860.0,1141.0,953.0,1099.0,574.0,689.0,408.0,447.0,214.0,238.0,149.0,147.0,93.0,94.0,85.0,93.0,11.0,47.0,131.0,248.0,308.0,451.0,331.0,406.0,324.0,378.0,181.0,227.0,91.0,122.0,51.0,66.0,59.0,64.0,202.0,61.0,1.0,1.0,6.0,1.0,39.0,26.0,136.0,112.0,165.0,147.0,181.0,180.0,180.0,163.0,234.0,229.0,450.0,372.0,726.0,716.0,1183.0,1087.0,7568.0,7236.0
İstanbul-34,834006,824825,13865,11254,29946,23154,34793,28527,56140,49642,25330,26362,17841,18279,14857,13981,15819,16087,25131,22411,26810,26786,34853,33405,99075,101176,870510,872585,110954,283876,9877,10955,6953,8297,28881,21393,227238,190211,304675,288472,300741,293550,258716,271798,307514,287114,264925,274673,241673,241325,387264,410516,765,11,709736,540836,66208,98145,731,1729,1999,1054,116738,56981,155666,169566,147213,149196,122578,136416,102831,107268,63498,70141,46600,48941,70301,74741,19757,3216,497186,522410,236484,240943,307002,290647,349077,341984,375826,376111,281174,299225,207293,227039,171708,173457,119722,133077,71318,76996,99559,106895,40717,46150,201265,205875,468510,465078,387905,388588,295744,303000,203924,216779,136621,148345,96052,101667,68055,70842,55935,58409,84022,91132,137,2300,24071,35765,48286,62684,47630,57687,32323,37069,23540,26365,14845,16521,8922,9816,6365,6700,9813,10644,586,895,4304,5382,7527,9016,7304,8735,6945,7826,5926,6649,3999,4749,2758,3107,5454,6003,2226,915,181,68,1119,746,4103,2538,12382,9784,11600,10708,10736,10378,9583,8806,11414,11160,21380,18329,24752,24241,37450,34641,151207,150110
İzmir-35,206161,204742,2157,1833,5550,4139,6390,5148,11137,9659,6164,6169,5379,5330,4948,4586,5769,5799,9097,8089,10726,10637,15115,14056,64769,64019,212957,216278,22648,66350,1160,1474,813,1077,5364,2982,54424,44915,76065,71612,82948,80270,81866,82760,103842,96224,106786,108154,107490,106134,207979,217947,109,2,184458,141670,15389,24614,107,230,470,201,29597,14504,40328,44082,38565,39180,35875,38430,31694,32804,22192,23888,18609,19458,29111,30988,7627,600,141566,147636,69033,71924,86489,83760,97114,96478,105113,105966,81632,87281,63360,68435,57791,57468,45919,50613,29515,32033,41751,45128,9051,9645,51639,52798,113779,115724,97066,98254,83075,85927,64755,68862,49174,52701,40326,42119,32366,33710,27546,28999,39434,43165,17,804,5226,8534,9705,12885,9623,12360,6366,7494,5405,5958,3837,4355,2347,2667,1572,1741,2350,2661,135,130,1067,1153,2138,2338,2103,2374,2167,2415,1932,2123,1192,1419,837,936,1593,1739,1349,458,19,6,165,114,643,412,1975,1585,1928,1813,1914,1825,1895,1734,2113,2110,3777,3356,4496,4421,6587,6093,36891,35731
Kahramanmaraş-46,84822,83849,1380,1120,2549,2064,2609,2159,3080,2508,1309,1308,1302,1236,1601,1410,2368,2310,3495,3196,3666,3690,5266,4944,16439,16726,88516,88713,14011,31597,521,576,209,447,2111,1281,19839,16804,25006,24503,24095,23791,22014,23170,22769,22355,17726,18974,17201,17220,25323,27322,155,1,65702,52537,5595,10825,61,111,247,81,8527,4364,11719,12632,10208,10415,8562,9525,6800,7219,3939,4535,2665,2860,2116,2424,6163,654,39033,39044,15655,15565,19963,18637,21182,21521,20530,21028,13039,14567,7889,8880,6935,6954,4354,5041,2671,2857,1833,2153,2636,2573,11855,12097,20986,21696,16085,16379,12309,12775,7647,8209,4825,5466,3281,3434,2323,2394,2281,2425,1791,2018,6,150,493,1241,1069,1724,1427,1918,891,1087,586,670,318,352,168,178,129,142,87,106,6,31,81,146,202,269,222,289,265,313,180,227,57,89,44,47,45,52,319,72,5,2,44,19,364,229,998,822,995,944,1175,1108,1298,1144,1985,1892,3199,2793,4082,3979,7192,6493,31641,31663
Karabük-78,9982.0,9919.0,59.0,51.0,151.0,106.0,117.0,102.0,151.0,120.0,78.0,85.0,77.0,76.0,63.0,56.0,123.0,113.0,357.0,272.0,664.0,643.0,1267.0,1179.0,5075.0,4992.0,11317.0,11314.0,799.0,3280.0,23.0,35.0,7.0,16.0,115.0,41.0,1734.0,1400.0,2502.0,2324.0,3479.0,3258.0,4531.0,4343.0,6234.0,5779.0,6961.0,7183.0,7776.0,7482.0,13258.0,14128.0,4.0,,10286.0,8460.0,510.0,974.0,1.0,8.0,7.0,,1536.0,740.0,2219.0,2393.0,2352.0,2388.0,2411.0,2549.0,2105.0,2214.0,1332.0,1503.0,1014.0,1071.0,978.0,1096.0,1335.0,78.0,20450.0,18659.0,6901.0,7788.0,4369.0,4530.0,4535.0,4456.0,5054.0,5027.0,4207.0,4467.0,2831.0,3166.0,2499.0,2482.0,1967.0,2147.0,1193.0,1279.0,1048.0,1230.0,784.0,844.0,4175.0,4053.0,7360.0,7685.0,4648.0,4877.0,3497.0,3585.0,2765.0,2902.0,1997.0,2161.0,1366.0,1448.0,893.0,935.0,723.0,777.0,582.0,677.0,3.0,49.0,285.0,430.0,418.0,582.0,404.0,445.0,271.0,351.0,179.0,226.0,102.0,117.0,30.0,47.0,23.0,20.0,22.0,22.0,14.0,26.0,103.0,149.0,130.0,181.0,97.0,139.0,105.0,120.0,52.0,64.0,19.0,26.0,10.0,14.0,12.0,15.0,63.0,12.0,3.0,2.0,11.0,8.0,32.0,19.0,84.0,74.0,105.0,98.0,133.0,124.0,115.0,107.0,153.0,157.0,347.0,282.0,580.0,541.0,1149.0,1025.0,8279.0,7952.0
Karaman-70,14060.0,13687.0,151.0,119.0,152.0,139.0,135.0,105.0,157.0,132.0,98.0,113.0,62.0,64.0,61.0,52.0,96.0,101.0,180.0,154.0,229.0,202.0,638.0,560.0,5377.0,5213.0,15537.0,15398.0,2379.0,5280.0,23.0,39.0,15.0,13.0,181.0,51.0,3474.0,2750.0,4647.0,4336.0,5213.0,4999.0,6036.0,5963.0,7122.0,6724.0,6699.0,6999.0,7093.0,6894.0,13074.0,13723.0,12.0,,12982.0,10147.0,930.0,1731.0,3.0,9.0,25.0,2.0,1950.0,946.0,2350.0,2513.0,2144.0,2236.0,1968.0,2198.0,1629.0,1763.0,917.0,1084.0,626.0,657.0,620.0,697.0,1010.0,79.0,10444.0,10129.0,3631.0,3829.0,4196.0,3880.0,4478.0,4557.0,4364.0,4426.0,3011.0,3253.0,2024.0,2201.0,1840.0,1797.0,1174.0,1365.0,690.0,745.0,524.0,613.0,755.0,785.0,3162.0,3243.0,5624.0,5670.0,4158.0,4180.0,3176.0,3267.0,2205.0,2311.0,1432.0,1569.0,1002.0,1024.0,619.0,659.0,567.0,574.0,573.0,637.0,,42.0,156.0,331.0,319.0,494.0,305.0,400.0,172.0,210.0,124.0,150.0,77.0,77.0,28.0,39.0,23.0,23.0,14.0,17.0,7.0,23.0,43.0,87.0,71.0,107.0,58.0,62.0,49.0,59.0,30.0,37.0,12.0,19.0,2.0,3.0,4.0,5.0,77.0,23.0,3.0,2.0,10.0,4.0,20.0,19.0,70.0,43.0,107.0,102.0,86.0,92.0,98.0,88.0,120.0,112.0,139.0,125.0,231.0,220.0,521.0,442.0,4075.0,3917.0
Kars-36,20584,19930,375,261,1589,1121,1507,1290,2005,1749,1090,1174,719,699,542,512,490,521,808,697,845,830,1069,1021,3587,3534,22823,22562,4430,8212,317,493,68,152,753,463,5290,4466,6835,6788,6186,5956,4392,4980,5827,5302,4274,4546,3820,3905,7390,7501,148,7,16856,12823,1793,3112,10,34,64,24,1611,842,2435,2649,2345,2238,1798,2029,1766,1762,955,1068,665,727,644,706,735,310,10279,11246,4377,4530,4305,4105,3455,3524,3922,3848,3046,3252,2127,2348,2240,2212,1436,1605,810,871,740,809,755,735,3732,3674,7007,6789,4219,4083,2555,2583,1413,1495,842,929,651,637,366,397,306,323,226,264,3,43,177,436,301,491,241,319,125,151,79,74,33,41,22,20,12,15,8,11,6,23,61,128,130,163,70,108,70,89,47,46,20,25,4,5,9,6,45,12,24,4,135,88,220,148,639,517,629,566,645,644,675,563,583,658,1187,1004,1379,1324,1973,1846,8798,8482
Kastamonu-37,15701.0,15364.0,110.0,98.0,344.0,215.0,285.0,219.0,395.0,354.0,186.0,216.0,190.0,180.0,203.0,182.0,351.0,337.0,892.0,760.0,1423.0,1320.0,2909.0,2616.0,14600.0,14287.0,18516.0,18221.0,2133.0,5760.0,98.0,79.0,34.0,49.0,339.0,106.0,5062.0,4057.0,6898.0,6480.0,7527.0,7187.0,8129.0,8129.0,12157.0,11159.0,13396.0,13915.0,14898.0,14852.0,26379.0,27409.0,24.0,1.0,15320.0,12155.0,939.0,1540.0,7.0,21.0,25.0,5.0,2345.0,1199.0,3215.0,3493.0,2951.0,3067.0,2679.0,2935.0,2557.0,2646.0,1779.0,1994.0,1676.0,1734.0,1666.0,1852.0,1421.0,137.0,18235.0,17541.0,6361.0,6362.0,6446.0,6241.0,6480.0,6541.0,6683.0,6733.0,4315.0,4725.0,3084.0,3290.0,3149.0,3021.0,2466.0,2836.0,1374.0,1487.0,1320.0,1432.0,1168.0,995.0,4998.0,4774.0,8084.0,8013.0,5486.0,5592.0,4208.0,4255.0,2983.0,3066.0,2191.0,2289.0,1691.0,1744.0,1278.0,1291.0,1225.0,1230.0,1122.0,1309.0,1.0,60.0,282.0,515.0,500.0,718.0,449.0,565.0,264.0,314.0,156.0,183.0,92.0,108.0,55.0,55.0,54.0,48.0,35.0,36.0,10.0,28.0,70.0,157.0,118.0,155.0,112.0,130.0,64.0,86.0,48.0,53.0,24.0,30.0,15.0,22.0,27.0,29.0,58.0,18.0,3.0,,9.0,7.0,61.0,38.0,205.0,162.0,243.0,230.0,271.0,248.0,324.0,294.0,362.0,351.0,702.0,614.0,1172.0,1091.0,2359.0,2138.0,16244.0,15459.0
Kayseri-38,88411.0,87174.0,707.0,610.0,1420.0,1145.0,1604.0,1235.0,2477.0,2068.0,1036.0,999.0,839.0,811.0,945.0,845.0,1305.0,1253.0,2507.0,2202.0,3454.0,3312.0,5256.0,4877.0,20625.0,20667.0,93709.0,94821.0,11132.0,29374.0,398.0,431.0,151.0,253.0,1827.0,916.0,19286.0,15738.0,25120.0,23501.0,27599.0,26839.0,26442.0,27250.0,33143.0,30979.0,31040.0,32197.0,28931.0,29093.0,47811.0,50611.0,50.0,,73490.0,58827.0,4820.0,9393.0,39.0,74.0,136.0,42.0,10188.0,5047.0,12485.0,14150.0,12321.0,12492.0,10495.0,11889.0,9192.0,9614.0,5680.0,6241.0,4264.0,4568.0,3937.0,4397.0,6033.0,450.0,53105.0,56585.0,22769.0,24257.0,29505.0,27519.0,33082.0,32833.0,32189.0,33350.0,20950.0,23137.0,14894.0,16571.0,12635.0,12606.0,8490.0,9761.0,4984.0,5416.0,4478.0,5081.0,2568.0,2612.0,16203.0,16234.0,32921.0,32799.0,26023.0,26307.0,21549.0,22432.0,15664.0,16828.0,9885.0,11109.0,6537.0,6985.0,4626.0,4784.0,4107.0,4293.0,3843.0,4362.0,5.0,254.0,1252.0,2322.0,2421.0,3381.0,2323.0,3086.0,1379.0,1706.0,1037.0,1194.0,640.0,735.0,276.0,302.0,204.0,218.0,151.0,180.0,55.0,54.0,320.0,365.0,523.0,591.0,550.0,641.0,502.0,539.0,317.0,370.0,160.0,190.0,129.0,135.0,96.0,120.0,265.0,64.0,28.0,16.0,73.0,51.0,207.0,147.0,520.0,435.0,549.0,553.0,594.0,538.0,645.0,626.0,757.0,734.0,1575.0,1366.0,2173.0,2027.0,3595.0,3308.0,23338.0,22653.0
