,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187
Kilis-79,9383.0,9354.0,219.0,157.0,404.0,329.0,323.0,305.0,403.0,371.0,195.0,232.0,170.0,165.0,133.0,139.0,228.0,218.0,403.0,376.0,414.0,429.0,649.0,594.0,2453.0,2437.0,10225.0,10440.0,1902.0,3688.0,99.0,167.0,23.0,48.0,194.0,122.0,1683.0,1498.0,2355.0,2279.0,2084.0,2114.0,1974.0,2068.0,2416.0,2311.0,1843.0,2064.0,1944.0,1896.0,3494.0,3702.0,12.0,,7188.0,5669.0,546.0,1146.0,10.0,18.0,33.0,10.0,829.0,458.0,1279.0,1387.0,1151.0,1253.0,1051.0,1183.0,1018.0,1049.0,531.0,689.0,355.0,389.0,425.0,467.0,658.0,115.0,6371.0,6254.0,2450.0,2529.0,2095.0,2207.0,1708.0,1884.0,1710.0,1801.0,1084.0,1221.0,833.0,931.0,870.0,845.0,570.0,689.0,310.0,330.0,271.0,295.0,355.0,372.0,1603.0,1688.0,2872.0,3186.0,1736.0,1929.0,1115.0,1206.0,906.0,957.0,545.0,626.0,314.0,337.0,220.0,222.0,207.0,213.0,297.0,326.0,1.0,27.0,73.0,143.0,114.0,200.0,125.0,173.0,77.0,83.0,45.0,59.0,29.0,31.0,9.0,11.0,4.0,3.0,9.0,11.0,4.0,7.0,18.0,53.0,37.0,48.0,35.0,35.0,22.0,32.0,21.0,22.0,4.0,13.0,4.0,5.0,7.0,7.0,25.0,4.0,3.0,,22.0,21.0,36.0,29.0,76.0,69.0,89.0,78.0,103.0,103.0,93.0,86.0,131.0,114.0,258.0,232.0,298.0,269.0,528.0,459.0,3502.0,3358.0
Kırıkkale-71,13565.0,13017.0,184.0,167.0,286.0,249.0,256.0,204.0,313.0,257.0,158.0,154.0,115.0,115.0,112.0,95.0,159.0,147.0,386.0,344.0,669.0,612.0,1124.0,1006.0,4968.0,4923.0,15078.0,14964.0,1509.0,4762.0,50.0,57.0,22.0,29.0,190.0,92.0,1912.0,1541.0,2515.0,2367.0,3335.0,3026.0,4288.0,4160.0,6300.0,5813.0,6822.0,6809.0,7289.0,7119.0,13715.0,14396.0,6.0,,13463.0,11337.0,639.0,1561.0,7.0,24.0,32.0,6.0,1827.0,864.0,2852.0,2932.0,2924.0,2834.0,3387.0,3408.0,3391.0,3517.0,1963.0,2161.0,1617.0,1666.0,1787.0,1992.0,2117.0,105.0,17394.0,17444.0,6270.0,6310.0,6414.0,6123.0,6703.0,6745.0,6847.0,6762.0,5365.0,5659.0,4500.0,4751.0,4275.0,4185.0,3058.0,3460.0,1897.0,2003.0,1419.0,1638.0,788.0,734.0,3691.0,3614.0,6751.0,6845.0,4945.0,5155.0,3782.0,3901.0,3040.0,3214.0,2317.0,2534.0,1731.0,1793.0,1176.0,1188.0,928.0,1032.0,592.0,698.0,2.0,59.0,166.0,492.0,335.0,570.0,400.0,557.0,304.0,378.0,233.0,252.0,155.0,173.0,63.0,69.0,52.0,45.0,23.0,27.0,10.0,12.0,38.0,70.0,76.0,114.0,97.0,128.0,83.0,91.0,32.0,45.0,15.0,24.0,12.0,16.0,14.0,14.0,55.0,10.0,2.0,,10.0,3.0,32.0,24.0,99.0,81.0,91.0,86.0,89.0,88.0,98.0,87.0,99.0,100.0,204.0,172.0,375.0,324.0,757.0,654.0,7364.0,7028.0
Kırklareli-39,14023.0,13820.0,174.0,160.0,523.0,434.0,369.0,329.0,558.0,465.0,295.0,296.0,231.0,239.0,233.0,222.0,257.0,267.0,377.0,375.0,497.0,491.0,781.0,733.0,4983.0,4786.0,15230.0,15105.0,1583.0,4964.0,108.0,143.0,32.0,68.0,253.0,147.0,2794.0,2210.0,4532.0,4216.0,5682.0,5421.0,6817.0,6575.0,9988.0,9058.0,12913.0,12774.0,13914.0,13828.0,27763.0,29238.0,8.0,1.0,14193.0,10707.0,1002.0,1661.0,5.0,17.0,38.0,6.0,2309.0,1205.0,3310.0,3598.0,3494.0,3447.0,3671.0,3806.0,3039.0,3196.0,2205.0,2382.0,1657.0,1825.0,1972.0,2182.0,623.0,67.0,16443.0,16167.0,6191.0,6418.0,8270.0,7925.0,8609.0,8447.0,9545.0,9687.0,7181.0,7788.0,6038.0,6338.0,5181.0,5277.0,4111.0,4572.0,2184.0,2470.0,1892.0,2172.0,1061.0,1181.0,5024.0,5233.0,9216.0,10339.0,6917.0,7165.0,5158.0,5297.0,3632.0,3942.0,2628.0,2794.0,1945.0,2078.0,1824.0,1800.0,1559.0,1665.0,1746.0,1949.0,2.0,66.0,315.0,556.0,533.0,764.0,487.0,664.0,274.0,341.0,238.0,243.0,149.0,185.0,89.0,109.0,58.0,66.0,66.0,72.0,7.0,13.0,67.0,116.0,111.0,170.0,72.0,105.0,49.0,57.0,41.0,54.0,21.0,29.0,26.0,28.0,15.0,18.0,101.0,21.0,2.0,,28.0,19.0,63.0,48.0,184.0,150.0,194.0,171.0,209.0,208.0,216.0,204.0,280.0,260.0,352.0,325.0,402.0,375.0,519.0,486.0,4728.0,4448.0
Kırşehir-40,11610.0,11112.0,305.0,274.0,362.0,329.0,263.0,238.0,284.0,289.0,167.0,166.0,146.0,149.0,142.0,130.0,175.0,171.0,332.0,311.0,601.0,539.0,1084.0,985.0,5015.0,4963.0,12187.0,12410.0,1138.0,3708.0,31.0,44.0,13.0,24.0,168.0,50.0,1964.0,1582.0,2976.0,2655.0,3732.0,3569.0,4538.0,4395.0,6617.0,6168.0,6972.0,7127.0,6756.0,6765.0,11346.0,11971.0,6.0,,11340.0,9172.0,630.0,1254.0,2.0,13.0,27.0,5.0,1767.0,858.0,2276.0,2376.0,2421.0,2431.0,2368.0,2473.0,2178.0,2242.0,1257.0,1369.0,886.0,923.0,811.0,933.0,1438.0,78.0,12324.0,11841.0,4422.0,4637.0,4684.0,4590.0,4801.0,4845.0,4985.0,5060.0,3586.0,3879.0,2948.0,3054.0,3001.0,2942.0,1894.0,2238.0,1039.0,1133.0,744.0,856.0,568.0,605.0,3346.0,3328.0,6107.0,6136.0,4074.0,4129.0,3265.0,3359.0,2522.0,2600.0,1888.0,2047.0,1296.0,1381.0,938.0,960.0,885.0,920.0,692.0,788.0,,41.0,181.0,367.0,353.0,484.0,375.0,481.0,212.0,270.0,148.0,156.0,55.0,80.0,42.0,38.0,32.0,30.0,14.0,17.0,6.0,19.0,80.0,140.0,129.0,192.0,73.0,113.0,53.0,64.0,38.0,56.0,15.0,16.0,8.0,20.0,6.0,7.0,75.0,8.0,,,12.0,6.0,36.0,28.0,111.0,89.0,106.0,104.0,143.0,130.0,122.0,123.0,102.0,114.0,196.0,152.0,339.0,313.0,712.0,649.0,5987.0,5694.0
Kocaeli-41,109945.0,110733.0,879.0,832.0,2008.0,1587.0,2295.0,1875.0,3985.0,3474.0,1710.0,1837.0,1403.0,1448.0,1410.0,1305.0,1648.0,1664.0,3148.0,2744.0,3859.0,3896.0,5455.0,5170.0,16778.0,17293.0,113301.0,116617.0,10400.0,33976.0,575.0,656.0,264.0,490.0,2331.0,1570.0,23231.0,19611.0,31265.0,29678.0,32554.0,31969.0,30523.0,31824.0,38561.0,36292.0,36188.0,37639.0,34842.0,35051.0,55498.0,59328.0,89.0,,96037.0,75516.0,6532.0,12204.0,57.0,116.0,208.0,78.0,15994.0,8034.0,20832.0,23482.0,18921.0,20013.0,16175.0,18078.0,13966.0,15029.0,8749.0,9771.0,6332.0,7009.0,7171.0,7926.0,4152.0,434.0,66936.0,68975.0,31138.0,32199.0,43425.0,42378.0,49849.0,49391.0,53574.0,55157.0,37919.0,41614.0,25655.0,28778.0,21591.0,22024.0,14688.0,16549.0,9057.0,9970.0,9099.0,10227.0,4881.0,5224.0,24079.0,24700.0,55553.0,57439.0,44699.0,46949.0,32802.0,34612.0,20554.0,22819.0,12595.0,14043.0,8294.0,9001.0,5940.0,6131.0,5077.0,5504.0,5508.0,6117.0,7.0,237.0,1723.0,2886.0,3490.0,4888.0,3545.0,4666.0,2285.0,2769.0,1514.0,1762.0,869.0,1001.0,420.0,496.0,321.0,319.0,342.0,396.0,61.0,48.0,361.0,379.0,689.0,770.0,625.0,731.0,545.0,672.0,383.0,438.0,169.0,207.0,89.0,111.0,140.0,156.0,446.0,148.0,38.0,16.0,174.0,129.0,395.0,290.0,1092.0,886.0,953.0,904.0,919.0,929.0,988.0,900.0,1104.0,1086.0,2236.0,1921.0,2955.0,2921.0,4941.0,4495.0,23696.0,23405.0
Konya-42,134906.0,132663.0,2083.0,1819.0,3000.0,2571.0,3011.0,2380.0,4501.0,3992.0,1624.0,1672.0,1290.0,1295.0,1369.0,1225.0,1886.0,1814.0,3519.0,3002.0,4580.0,4536.0,7866.0,7040.0,37893.0,37373.0,146753.0,147129.0,28412.0,53867.0,571.0,647.0,278.0,381.0,3185.0,970.0,45167.0,37064.0,52581.0,50177.0,53086.0,52087.0,54668.0,55003.0,63860.0,60304.0,56968.0,60276.0,56237.0,55231.0,95982.0,101576.0,104.0,,109836.0,86335.0,7351.0,13026.0,32.0,89.0,202.0,41.0,14786.0,7404.0,17699.0,19478.0,15783.0,16337.0,14312.0,15616.0,12738.0,13279.0,7694.0,8854.0,5468.0,5796.0,5956.0,6578.0,7872.0,870.0,94590.0,96191.0,33211.0,35726.0,33541.0,32141.0,35597.0,36157.0,35237.0,36139.0,23615.0,26156.0,17408.0,19124.0,15911.0,15709.0,11077.0,12892.0,6781.0,7336.0,6033.0,6856.0,5026.0,5479.0,26979.0,26978.0,47815.0,48952.0,34461.0,34948.0,27545.0,28065.0,20179.0,21332.0,14010.0,15288.0,10275.0,10692.0,6789.0,7322.0,5861.0,5965.0,5883.0,6672.0,12.0,519.0,1852.0,3775.0,3471.0,5172.0,3652.0,4637.0,2366.0,2894.0,1635.0,1937.0,912.0,1033.0,547.0,583.0,387.0,411.0,321.0,369.0,65.0,88.0,446.0,548.0,914.0,1085.0,944.0,1134.0,887.0,981.0,643.0,749.0,323.0,395.0,215.0,246.0,248.0,279.0,643.0,167.0,25.0,11.0,72.0,61.0,391.0,227.0,969.0,825.0,997.0,942.0,953.0,932.0,907.0,810.0,1147.0,1122.0,2248.0,1876.0,3087.0,2989.0,5494.0,4817.0,31153.0,30227.0
Kütahya-43,25884.0,25582.0,187.0,181.0,321.0,242.0,267.0,221.0,448.0,379.0,213.0,198.0,197.0,174.0,233.0,224.0,358.0,312.0,986.0,788.0,1921.0,1786.0,3773.0,3262.0,20102.0,19646.0,29514.0,29014.0,3051.0,9204.0,37.0,41.0,18.0,22.0,363.0,83.0,7791.0,6177.0,10009.0,9217.0,11589.0,11023.0,14221.0,13870.0,20505.0,18658.0,21746.0,22682.0,21183.0,20753.0,33871.0,35848.0,12.0,,23785.0,19628.0,1172.0,2786.0,4.0,7.0,31.0,5.0,4070.0,2081.0,6033.0,6401.0,5604.0,5683.0,4921.0,5450.0,4054.0,4304.0,2570.0,2859.0,2083.0,2205.0,1505.0,1752.0,3281.0,116.0,27556.0,26117.0,10807.0,10400.0,12013.0,11456.0,12151.0,12336.0,11687.0,11778.0,8354.0,9238.0,5937.0,6373.0,5280.0,5315.0,3651.0,4237.0,1897.0,2044.0,1731.0,1973.0,1590.0,1606.0,8943.0,8319.0,14657.0,15441.0,9070.0,9257.0,6793.0,6871.0,4813.0,5143.0,3128.0,3372.0,2403.0,2452.0,1838.0,1856.0,1603.0,1695.0,1255.0,1460.0,3.0,81.0,530.0,830.0,803.0,1258.0,818.0,1065.0,514.0,595.0,315.0,326.0,193.0,209.0,98.0,107.0,77.0,69.0,64.0,75.0,25.0,38.0,120.0,132.0,242.0,314.0,186.0,245.0,173.0,207.0,88.0,109.0,37.0,53.0,23.0,28.0,27.0,30.0,140.0,33.0,8.0,5.0,19.0,15.0,55.0,35.0,172.0,144.0,206.0,194.0,173.0,176.0,167.0,157.0,204.0,198.0,355.0,311.0,565.0,525.0,1024.0,905.0,9405.0,8844.0
Malatya-44,47817.0,47474.0,463.0,364.0,1030.0,852.0,964.0,845.0,1512.0,1319.0,825.0,837.0,923.0,886.0,1058.0,966.0,1318.0,1339.0,2183.0,1943.0,2178.0,2262.0,3313.0,3119.0,11757.0,11752.0,53144.0,53037.0,4776.0,15922.0,268.0,262.0,154.0,193.0,1188.0,461.0,9421.0,8090.0,12957.0,12367.0,14030.0,13584.0,12600.0,13422.0,15911.0,14871.0,13093.0,13969.0,14528.0,14210.0,23250.0,24576.0,71.0,,44856.0,35453.0,3282.0,5936.0,21.0,80.0,112.0,35.0,5522.0,2728.0,7502.0,7829.0,7824.0,7833.0,7315.0,7865.0,6748.0,6892.0,3698.0,4203.0,2907.0,3047.0,3007.0,3316.0,3998.0,482.0,35458.0,36172.0,15330.0,15842.0,15174.0,14433.0,16816.0,16682.0,17540.0,17692.0,12520.0,13687.0,8732.0,9496.0,8809.0,8487.0,5953.0,6956.0,3446.0,3662.0,2844.0,3237.0,1536.0,1567.0,10120.0,10242.0,21103.0,20960.0,15916.0,16103.0,13107.0,13278.0,9094.0,9576.0,5892.0,6495.0,4133.0,4267.0,2887.0,2971.0,2578.0,2724.0,1980.0,2252.0,2.0,126.0,464.0,1190.0,1114.0,1713.0,1254.0,1886.0,826.0,1062.0,499.0,645.0,268.0,317.0,144.0,166.0,89.0,95.0,75.0,83.0,48.0,46.0,175.0,212.0,290.0,343.0,321.0,365.0,273.0,329.0,206.0,214.0,104.0,121.0,51.0,63.0,24.0,35.0,195.0,45.0,20.0,7.0,78.0,59.0,132.0,92.0,512.0,429.0,632.0,557.0,803.0,749.0,918.0,855.0,1251.0,1201.0,2158.0,1847.0,2755.0,2670.0,4948.0,4425.0,28986.0,28348.0
Manisa-45,73148.0,72407.0,732.0,549.0,1944.0,1662.0,1999.0,1729.0,3165.0,2886.0,1709.0,1688.0,1604.0,1573.0,1609.0,1549.0,1873.0,1840.0,3179.0,2874.0,4346.0,4098.0,7231.0,6560.0,32912.0,32443.0,79479.0,80249.0,10523.0,26189.0,385.0,534.0,188.0,288.0,1903.0,745.0,24834.0,20275.0,34468.0,32235.0,37874.0,36880.0,40754.0,40431.0,50194.0,47079.0,49672.0,51557.0,47777.0,47333.0,78146.0,83109.0,53.0,,64190.0,50633.0,4281.0,8126.0,27.0,48.0,156.0,39.0,10540.0,5243.0,13128.0,14559.0,12433.0,12741.0,11240.0,12139.0,9012.0,9640.0,5436.0,6062.0,3563.0,3916.0,3937.0,4310.0,4926.0,295.0,47686.0,48219.0,19620.0,20501.0,26239.0,25446.0,26731.0,27442.0,25787.0,26967.0,17752.0,19682.0,13671.0,14651.0,12399.0,12498.0,8564.0,10001.0,4499.0,4980.0,4130.0,4725.0,3515.0,4006.0,16377.0,16603.0,29827.0,31482.0,22319.0,23447.0,17020.0,17903.0,11751.0,12761.0,8312.0,8936.0,6460.0,6715.0,5093.0,5217.0,4390.0,4624.0,3634.0,4154.0,5.0,196.0,700.0,1360.0,1304.0,1985.0,1488.0,2026.0,861.0,1062.0,641.0,721.0,461.0,531.0,277.0,304.0,190.0,204.0,137.0,171.0,17.0,25.0,122.0,176.0,262.0,295.0,280.0,332.0,272.0,319.0,204.0,234.0,103.0,141.0,57.0,63.0,56.0,69.0,357.0,71.0,3.0,1.0,43.0,24.0,267.0,156.0,774.0,647.0,806.0,761.0,850.0,822.0,835.0,806.0,1000.0,965.0,1597.0,1413.0,2038.0,1950.0,3238.0,2973.0,21007.0,20112.0
Mardin-47,69228,68709,2950,2128,6408,5271,5918,5159,8211,7970,4716,5170,4445,4605,4019,4031,3142,3541,3164,3159,2250,2485,2358,2331,5556,5775,75163,75855,18731,30504,1143,1506,454,684,2248,1719,12260,11527,15982,15633,13856,13802,9647,10880,8996,8922,5613,6135,4801,5005,7449,7958,294,6,50556,38542,5283,8733,53,137,180,92,4116,2121,5639,5924,4548,4743,3405,3838,2587,2694,1304,1503,857,911,906,1008,2143,876,23343,25151,10705,11238,13021,12976,10903,11613,9611,9931,5985,6544,3884,4336,3597,3553,1940,2301,987,1094,997,1125,1637,1742,7963,8361,16777,17749,9781,10630,5758,5981,2960,3242,1698,1936,1193,1245,763,802,594,648,337,391,2,92,242,767,618,1105,534,843,233,318,119,155,84,90,44,53,23,23,24,27,3,14,35,72,86,109,71,92,39,49,24,28,12,17,13,14,6,7,78,36,110,50,533,362,1384,957,3565,2975,3735,3507,4652,4276,4526,4169,4243,4328,5183,4785,4513,4565,5795,5444,24243,24308
Mersin-33,107818,106988,1608,1282,4137,3176,4778,4003,7983,7017,5094,5206,4536,4522,3864,3793,4111,4112,5532,5112,5676,5681,7842,7317,33421,33158,115425,115621,17232,40265,935,1134,502,695,2895,1859,25472,21438,36260,34401,39825,38607,38993,39897,46223,44168,40218,41852,38991,38849,63766,67719,158,1,92529,71720,8055,13365,116,197,248,113,11443,5776,15574,16311,15804,15879,14456,15646,12666,13151,7622,8501,6139,6437,7100,7773,6446,616,57763,58849,25746,26428,32819,30996,35643,35973,36631,37235,27566,29617,21494,23177,21752,21399,15484,17482,10015,10828,9824,11004,4158,4560,20012,20504,39806,40538,31407,32603,26356,27369,19934,21348,13801,14995,11110,11548,8296,8428,7894,8275,8596,9587,5,255,826,1904,1690,2807,2250,3125,1595,1956,1213,1427,871,984,428,480,326,343,425,468,16,43,110,191,328,403,428,541,508,593,319,386,162,218,65,75,144,161,815,255,16,8,122,72,625,407,1757,1446,1666,1549,1645,1640,1438,1359,1621,1582,2580,2288,2843,2852,4118,3761,19385,19113
Muğla-48,45201.0,44890.0,326.0,344.0,601.0,491.0,695.0,591.0,1265.0,1167.0,679.0,721.0,556.0,549.0,535.0,521.0,632.0,598.0,1019.0,930.0,1481.0,1404.0,2047.0,1899.0,12806.0,12569.0,46879.0,47431.0,5076.0,14768.0,154.0,168.0,82.0,112.0,877.0,407.0,12838.0,10265.0,18957.0,17493.0,21736.0,20780.0,22652.0,22746.0,27859.0,26250.0,26201.0,27167.0,25555.0,25434.0,55220.0,57870.0,35.0,1.0,38914.0,30388.0,2895.0,4653.0,8.0,28.0,97.0,34.0,6937.0,3461.0,8736.0,9836.0,8559.0,8648.0,7768.0,8590.0,6216.0,6745.0,3852.0,4364.0,2964.0,3211.0,4148.0,4512.0,2197.0,168.0,30468.0,31300.0,13417.0,14200.0,17115.0,16800.0,19533.0,19547.0,21638.0,21945.0,16715.0,18348.0,13099.0,14340.0,12350.0,12613.0,9682.0,10787.0,6145.0,6773.0,7558.0,8374.0,1971.0,2274.0,10227.0,10689.0,21388.0,21849.0,19044.0,19673.0,16305.0,17181.0,13252.0,14407.0,9734.0,10690.0,8376.0,8909.0,7052.0,7433.0,6222.0,6801.0,8533.0,9216.0,1.0,125.0,596.0,1036.0,1160.0,1748.0,1450.0,1940.0,1028.0,1277.0,899.0,1039.0,699.0,778.0,493.0,565.0,385.0,428.0,616.0,684.0,10.0,26.0,124.0,183.0,306.0,416.0,323.0,389.0,302.0,390.0,246.0,303.0,168.0,194.0,115.0,135.0,289.0,273.0,331.0,107.0,,1.0,38.0,17.0,103.0,67.0,401.0,330.0,384.0,398.0,368.0,370.0,347.0,333.0,459.0,417.0,641.0,596.0,866.0,826.0,1221.0,1154.0,10003.0,9527.0
Muş-49,38109.0,36938.0,3043.0,1972.0,6302.0,5257.0,4684.0,4196.0,6314.0,6013.0,3070.0,3305.0,2919.0,2954.0,2302.0,2299.0,1780.0,1954.0,2144.0,2003.0,1572.0,1706.0,1819.0,1806.0,3203.0,3323.0,39200.0,38227.0,13498.0,19922.0,885.0,1433.0,245.0,393.0,1145.0,871.0,5777.0,5110.0,7265.0,7269.0,5921.0,5880.0,4335.0,4777.0,4872.0,4483.0,3102.0,3518.0,3190.0,3209.0,3549.0,3811.0,224.0,7.0,23404.0,17370.0,3680.0,5869.0,30.0,128.0,101.0,54.0,1917.0,981.0,2723.0,2875.0,1998.0,2107.0,1443.0,1618.0,1242.0,1218.0,674.0,800.0,488.0,487.0,357.0,384.0,1127.0,420.0,10877.0,10708.0,5691.0,5674.0,5408.0,5546.0,4336.0,4356.0,4014.0,4120.0,2625.0,2754.0,1483.0,1666.0,1548.0,1500.0,808.0,950.0,497.0,539.0,345.0,390.0,639.0,639.0,3635.0,3770.0,7653.0,8452.0,4062.0,4164.0,2339.0,2477.0,1242.0,1304.0,772.0,829.0,582.0,577.0,281.0,340.0,192.0,206.0,99.0,120.0,,43.0,173.0,388.0,257.0,509.0,230.0,324.0,91.0,97.0,39.0,61.0,30.0,26.0,14.0,16.0,11.0,9.0,4.0,5.0,7.0,24.0,46.0,81.0,52.0,107.0,34.0,52.0,23.0,33.0,21.0,23.0,5.0,10.0,9.0,8.0,6.0,8.0,41.0,14.0,17.0,10.0,107.0,53.0,882.0,521.0,2381.0,1963.0,2162.0,1929.0,2196.0,2061.0,1898.0,1780.0,1747.0,1736.0,2447.0,2109.0,2134.0,2239.0,3334.0,3009.0,9797.0,9738.0
Nevşehir-50,15987.0,15459.0,205.0,189.0,380.0,293.0,292.0,273.0,328.0,311.0,132.0,146.0,79.0,76.0,127.0,111.0,181.0,178.0,427.0,340.0,637.0,622.0,1146.0,1023.0,5076.0,5031.0,17909.0,17845.0,2373.0,5735.0,48.0,69.0,26.0,47.0,368.0,78.0,3980.0,3318.0,5091.0,4674.0,5483.0,5262.0,6487.0,6353.0,8554.0,7961.0,8364.0,8714.0,8397.0,8175.0,17052.0,17732.0,11.0,,14560.0,11570.0,785.0,1486.0,6.0,8.0,37.0,6.0,2333.0,1196.0,2988.0,3215.0,2955.0,2956.0,2806.0,2927.0,2312.0,2439.0,1467.0,1596.0,1003.0,1102.0,1008.0,1118.0,1254.0,125.0,12639.0,13158.0,4413.0,4663.0,5083.0,4846.0,5871.0,5808.0,6111.0,6198.0,4402.0,4792.0,3128.0,3437.0,2934.0,2936.0,1949.0,2314.0,1084.0,1190.0,883.0,1018.0,705.0,841.0,3188.0,3387.0,5999.0,6114.0,4776.0,4873.0,3634.0,3639.0,2778.0,2834.0,1938.0,2017.0,1201.0,1264.0,822.0,809.0,732.0,757.0,735.0,805.0,,62.0,179.0,358.0,393.0,537.0,391.0,489.0,225.0,241.0,145.0,168.0,96.0,104.0,40.0,44.0,22.0,27.0,29.0,34.0,13.0,20.0,77.0,147.0,147.0,178.0,86.0,131.0,52.0,64.0,28.0,42.0,17.0,21.0,12.0,17.0,15.0,13.0,109.0,26.0,14.0,6.0,13.0,17.0,42.0,26.0,103.0,95.0,141.0,134.0,139.0,132.0,141.0,124.0,133.0,127.0,321.0,271.0,458.0,431.0,784.0,697.0,6247.0,5891.0
Niğde-51,21920.0,21375.0,254.0,205.0,619.0,473.0,750.0,587.0,761.0,649.0,286.0,286.0,283.0,283.0,370.0,332.0,484.0,476.0,792.0,698.0,850.0,870.0,1158.0,1075.0,5431.0,5325.0,24613.0,24248.0,4705.0,9204.0,133.0,144.0,34.0,119.0,737.0,244.0,6246.0,5371.0,7752.0,7391.0,7887.0,7674.0,7769.0,8158.0,9482.0,8904.0,8166.0,8652.0,8109.0,7783.0,15381.0,16115.0,26.0,1.0,18118.0,14445.0,1196.0,2549.0,6.0,11.0,59.0,14.0,2700.0,1364.0,3276.0,3542.0,3073.0,3068.0,2822.0,3143.0,2641.0,2724.0,1439.0,1690.0,1013.0,1062.0,1044.0,1146.0,1914.0,210.0,16422.0,16865.0,5474.0,6072.0,5484.0,5531.0,5269.0,5431.0,5563.0,5582.0,4004.0,4330.0,3053.0,3317.0,2860.0,2881.0,2051.0,2315.0,1154.0,1242.0,1066.0,1206.0,855.0,777.0,3865.0,3903.0,6762.0,6514.0,4759.0,4782.0,4006.0,3997.0,2937.0,3123.0,1959.0,2146.0,1336.0,1354.0,1011.0,1023.0,1022.0,1025.0,1172.0,1298.0,,43.0,196.0,357.0,427.0,584.0,514.0,628.0,333.0,376.0,199.0,221.0,113.0,100.0,55.0,58.0,47.0,55.0,36.0,44.0,12.0,10.0,65.0,105.0,141.0,182.0,138.0,176.0,121.0,166.0,64.0,104.0,30.0,35.0,15.0,20.0,19.0,19.0,114.0,40.0,5.0,3.0,13.0,9.0,58.0,37.0,185.0,162.0,220.0,214.0,245.0,228.0,234.0,227.0,319.0,308.0,575.0,525.0,705.0,672.0,1106.0,992.0,8104.0,7796.0
Ordu-52,38194.0,36404.0,383.0,358.0,586.0,452.0,718.0,511.0,1201.0,1052.0,680.0,613.0,746.0,686.0,890.0,787.0,1243.0,1185.0,3284.0,2762.0,4250.0,4094.0,7848.0,7271.0,28524.0,28543.0,42235.0,41107.0,4094.0,12734.0,80.0,82.0,39.0,69.0,724.0,255.0,10292.0,8053.0,15138.0,13555.0,16917.0,15539.0,16285.0,16652.0,23838.0,21864.0,20442.0,21052.0,19666.0,19645.0,28699.0,30267.0,32.0,,41150.0,31377.0,2233.0,3852.0,7.0,23.0,71.0,19.0,5198.0,2590.0,7662.0,8068.0,7645.0,7468.0,6741.0,7265.0,6636.0,6928.0,3526.0,3865.0,2656.0,2894.0,2630.0,2812.0,2548.0,178.0,26392.0,26672.0,10414.0,10621.0,14137.0,13280.0,13950.0,14258.0,14955.0,14774.0,11440.0,12149.0,8458.0,9151.0,9016.0,8921.0,5563.0,6361.0,3356.0,3649.0,2900.0,3252.0,2381.0,2348.0,9503.0,9618.0,14909.0,15308.0,10110.0,10342.0,8248.0,8348.0,6421.0,6676.0,4452.0,4903.0,3463.0,3648.0,2693.0,2733.0,2211.0,2432.0,2386.0,2583.0,3.0,108.0,345.0,771.0,657.0,1080.0,628.0,916.0,476.0,565.0,348.0,421.0,269.0,301.0,138.0,152.0,86.0,101.0,74.0,79.0,9.0,22.0,77.0,119.0,187.0,235.0,149.0,199.0,161.0,191.0,98.0,117.0,39.0,49.0,26.0,30.0,31.0,38.0,106.0,17.0,6.0,3.0,9.0,6.0,108.0,61.0,401.0,291.0,452.0,438.0,616.0,543.0,681.0,611.0,786.0,796.0,2074.0,1672.0,2897.0,2792.0,5715.0,5171.0,31213.0,30093.0
