,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187
Osmaniye-80,38673.0,37082.0,639.0,545.0,1082.0,915.0,1082.0,877.0,1271.0,1170.0,705.0,717.0,559.0,552.0,554.0,501.0,605.0,617.0,1036.0,945.0,1071.0,1124.0,1696.0,1639.0,4606.0,4751.0,38061.0,38515.0,5900.0,13943.0,281.0,333.0,126.0,158.0,678.0,377.0,6431.0,5404.0,8715.0,8248.0,9212.0,8893.0,9300.0,9711.0,10882.0,10403.0,9312.0,9850.0,9735.0,9479.0,13837.0,15020.0,33.0,2.0,29590.0,23352.0,2818.0,5507.0,30.0,56.0,78.0,37.0,4146.0,2043.0,5522.0,6017.0,5341.0,5304.0,4902.0,5298.0,4022.0,4267.0,2192.0,2551.0,1795.0,1820.0,1574.0,1799.0,3280.0,225.0,19706.0,19115.0,8050.0,8181.0,9914.0,9397.0,11253.0,11253.0,11985.0,12055.0,8765.0,9602.0,6194.0,6883.0,5981.0,5948.0,3858.0,4490.0,2399.0,2528.0,1540.0,1866.0,1506.0,1484.0,7111.0,6957.0,11914.0,12327.0,8427.0,8786.0,7067.0,7391.0,5038.0,5388.0,3327.0,3813.0,2457.0,2516.0,1672.0,1739.0,1583.0,1679.0,1601.0,1802.0,,82.0,149.0,544.0,374.0,667.0,608.0,832.0,389.0,525.0,225.0,280.0,158.0,167.0,83.0,101.0,51.0,56.0,46.0,53.0,4.0,10.0,41.0,58.0,78.0,85.0,79.0,103.0,71.0,81.0,41.0,54.0,22.0,26.0,6.0,13.0,21.0,17.0,374.0,112.0,15.0,9.0,111.0,70.0,236.0,165.0,570.0,496.0,692.0,611.0,653.0,671.0,670.0,615.0,832.0,794.0,1409.0,1273.0,1875.0,1782.0,3176.0,2886.0,14224.0,14024.0
Rize-53,15845.0,15613.0,100.0,96.0,163.0,137.0,131.0,110.0,224.0,181.0,164.0,141.0,185.0,193.0,235.0,201.0,423.0,365.0,1035.0,880.0,1452.0,1406.0,2157.0,2022.0,9235.0,8995.0,18234.0,17833.0,1296.0,5280.0,51.0,43.0,20.0,21.0,170.0,47.0,2383.0,1902.0,3958.0,3474.0,5170.0,4694.0,6557.0,6367.0,8245.0,7747.0,8739.0,8728.0,9214.0,9111.0,17924.0,18314.0,16.0,,17435.0,13340.0,1285.0,2041.0,4.0,8.0,38.0,6.0,2198.0,1054.0,3362.0,3450.0,3788.0,3696.0,3790.0,4096.0,3446.0,3565.0,1947.0,2232.0,1180.0,1344.0,1150.0,1268.0,854.0,127.0,15812.0,15686.0,6653.0,6687.0,7189.0,6956.0,7393.0,7474.0,7602.0,7590.0,5943.0,6375.0,5212.0,5668.0,4781.0,4878.0,3049.0,3531.0,1270.0,1507.0,1048.0,1185.0,740.0,732.0,4677.0,4829.0,9309.0,9559.0,6780.0,7075.0,4918.0,5038.0,3203.0,3363.0,2194.0,2394.0,1444.0,1500.0,1213.0,1220.0,1062.0,1134.0,872.0,929.0,,50.0,294.0,587.0,543.0,784.0,478.0,614.0,280.0,327.0,203.0,249.0,126.0,139.0,63.0,60.0,64.0,74.0,52.0,53.0,10.0,17.0,127.0,161.0,118.0,187.0,111.0,154.0,70.0,105.0,46.0,56.0,35.0,43.0,13.0,18.0,20.0,18.0,83.0,11.0,1.0,,5.0,6.0,27.0,21.0,116.0,90.0,156.0,152.0,182.0,184.0,184.0,151.0,230.0,234.0,479.0,371.0,778.0,760.0,1283.0,1185.0,8304.0,7949.0
Sakarya-54,52901,52515,702,625,922,783,964,754,1408,1237,708,687,548,534,589,568,683,687,1417,1245,2004,1934,3054,2801,12257,12222,58528,58726,6119,18466,264,327,109,164,947,443,12214,9722,18140,16693,20257,19504,21131,21228,27169,25351,26972,27803,26522,26369,44930,47449,46,1,50604,40586,3014,5514,21,45,73,24,6817,3381,10049,11160,9715,10073,8446,9455,7039,7486,4897,5259,3302,3662,3437,3774,3248,271,43315,44114,18001,18496,22657,21965,22567,22931,23655,24747,16786,18517,12035,13844,9735,10117,6918,7794,4242,4736,3595,4147,2418,2418,11457,11689,23228,24379,16993,17912,12975,13416,8942,9803,5526,6180,4097,4230,2836,3038,2654,2787,2670,2985,4,144,838,1443,1465,2197,1580,2035,983,1211,633,736,400,441,222,238,142,158,122,144,43,28,250,265,442,505,336,423,360,406,247,302,124,171,82,86,70,84,201,70,30,13,79,62,180,132,452,362,551,495,555,548,556,506,572,566,1141,959,1738,1652,2817,2587,17627,16955
Samsun-55,67454.0,66210.0,552.0,476.0,1062.0,785.0,1230.0,990.0,2276.0,1872.0,1445.0,1355.0,1402.0,1285.0,1494.0,1315.0,2238.0,2153.0,5116.0,4349.0,6608.0,6474.0,12294.0,11130.0,45962.0,45696.0,76943.0,76289.0,9642.0,25327.0,232.0,277.0,101.0,133.0,1529.0,533.0,18428.0,15251.0,27395.0,25339.0,28544.0,27646.0,29000.0,30015.0,41918.0,38898.0,34958.0,37543.0,34331.0,33980.0,53914.0,57047.0,57.0,,68628.0,54426.0,3974.0,7225.0,18.0,56.0,155.0,31.0,8264.0,4105.0,11304.0,12309.0,10636.0,10917.0,9327.0,10236.0,8989.0,9325.0,5424.0,6167.0,4109.0,4389.0,4607.0,5032.0,5081.0,496.0,49666.0,50557.0,19383.0,19998.0,23756.0,22579.0,23416.0,23949.0,25328.0,25697.0,18742.0,20569.0,13825.0,15239.0,13583.0,13594.0,9641.0,11038.0,5756.0,6304.0,4940.0,5678.0,3671.0,3818.0,17180.0,17604.0,29714.0,30831.0,21716.0,22575.0,19157.0,19416.0,14495.0,15298.0,9979.0,11059.0,7586.0,7993.0,5481.0,5756.0,4760.0,4993.0,4519.0,5139.0,1.0,236.0,841.0,1802.0,1705.0,2546.0,1786.0,2464.0,1198.0,1570.0,833.0,1022.0,552.0,612.0,300.0,347.0,237.0,247.0,229.0,267.0,39.0,43.0,195.0,267.0,487.0,505.0,461.0,552.0,451.0,506.0,363.0,387.0,171.0,227.0,101.0,123.0,112.0,129.0,374.0,111.0,4.0,2.0,28.0,15.0,146.0,97.0,452.0,354.0,473.0,433.0,574.0,529.0,539.0,506.0,674.0,657.0,1495.0,1293.0,2160.0,2034.0,4134.0,3783.0,21889.0,21211.0
Şanlıurfa-63,197408,199415,9180,6566,24426,19723,22289,20542,31750,30238,18086,18965,13408,14175,11138,11267,9440,10064,10643,10332,7162,7904,6134,6245,12229,12885,190550,195598,53229,84388,5433,7824,1715,2313,6132,5724,30352,27602,34127,34893,29066,29813,21386,23318,22919,22348,13773,15265,10702,10991,13559,14846,440,7,110856,83514,20573,29799,261,690,416,329,8708,4358,9419,10861,7274,7714,5527,6159,4855,5059,2383,2746,1560,1677,1359,1562,4205,1276,43516,46518,19384,20474,20022,20277,18068,18691,15727,16486,9992,11199,6092,6901,5623,5501,3345,3949,1730,1933,1375,1564,2286,2381,14406,15173,31871,34008,18051,18926,10900,11236,6207,6846,3281,3794,2081,2136,1380,1417,1176,1282,803,921,3,152,571,1662,1183,2263,1010,1603,591,762,340,406,190,217,91,94,86,88,56,50,13,40,114,153,275,351,210,267,189,225,163,176,59,85,40,50,39,41,192,69,301,107,2259,1449,5432,3941,13868,11852,13738,12365,13370,13159,11432,11003,10017,10157,13110,11974,11563,11815,11733,11306,39867,40296
Siirt-56,29902,29032,1410,1116,2936,2315,2475,2203,3325,3120,2245,2338,2161,2262,1520,1517,1337,1422,1502,1477,1119,1205,1142,1140,2164,2219,31743,31584,10156,14688,730,860,209,321,747,677,3935,3473,4985,4943,4179,4213,3041,3320,3140,3065,2138,2342,2135,2126,2560,2766,132,2,19135,14613,2354,3937,15,68,62,26,1459,656,1925,2027,1632,1621,1159,1317,989,1031,505,564,413,412,383,448,1003,331,10835,11958,5091,5568,5016,5224,3891,3911,3274,3365,2028,2174,1371,1473,1283,1282,635,760,398,409,389,428,774,822,4004,3912,7980,8087,4236,4428,2457,2598,1269,1377,746,853,533,550,288,327,251,248,121,165,2,32,142,344,260,434,214,310,102,143,43,65,49,48,28,24,20,22,10,11,4,13,36,83,60,87,56,78,30,45,28,37,10,11,7,8,8,10,71,19,54,13,389,262,660,492,1542,1277,1852,1627,1965,1976,1449,1321,1526,1446,1818,1799,1554,1555,2260,2108,8592,8482
Sinop-57,8943.0,9019.0,102.0,87.0,248.0,163.0,213.0,176.0,225.0,189.0,136.0,122.0,127.0,135.0,108.0,107.0,153.0,143.0,344.0,292.0,606.0,582.0,1503.0,1314.0,8731.0,8478.0,10280.0,10013.0,1523.0,3503.0,61.0,81.0,8.0,27.0,162.0,59.0,2317.0,1924.0,3097.0,3024.0,3690.0,3460.0,3750.0,3886.0,6506.0,5851.0,7158.0,7496.0,8335.0,8111.0,18137.0,18740.0,12.0,,8739.0,6758.0,606.0,1062.0,1.0,11.0,27.0,7.0,1422.0,718.0,1767.0,1936.0,1754.0,1831.0,1523.0,1729.0,1512.0,1576.0,1042.0,1210.0,988.0,999.0,1070.0,1190.0,568.0,59.0,7066.0,7629.0,2613.0,2869.0,3108.0,2999.0,3173.0,3165.0,3083.0,3230.0,2213.0,2406.0,1737.0,1848.0,2014.0,1958.0,1420.0,1670.0,867.0,926.0,948.0,1042.0,543.0,594.0,2539.0,2398.0,4681.0,4831.0,3190.0,3235.0,2435.0,2492.0,1770.0,1799.0,1381.0,1437.0,1094.0,1119.0,906.0,911.0,899.0,910.0,1013.0,1140.0,1.0,32.0,135.0,270.0,225.0,371.0,209.0,280.0,102.0,145.0,85.0,93.0,56.0,58.0,38.0,45.0,40.0,38.0,27.0,34.0,5.0,17.0,57.0,93.0,96.0,127.0,63.0,77.0,33.0,49.0,19.0,30.0,9.0,9.0,11.0,11.0,9.0,12.0,59.0,25.0,5.0,4.0,12.0,11.0,44.0,18.0,119.0,99.0,139.0,139.0,144.0,141.0,122.0,111.0,141.0,138.0,307.0,258.0,442.0,431.0,978.0,894.0,6509.0,6218.0
Şırnak-73,47856,46967,1833,1477,3886,3089,4194,3646,5963,5879,3935,3865,3966,4430,2833,2935,2186,2412,2117,2221,1221,1384,1333,1359,2082,2221,52057,53631,13174,21420,1248,1573,358,543,1323,1271,6749,6086,8642,8991,6538,6729,4464,4968,4115,4198,2287,2590,2166,2176,2015,2261,216,9,33059,24437,6211,9153,47,182,103,77,2474,1199,2556,2972,1708,1805,1120,1288,890,932,396,513,303,303,223,270,883,571,13588,15700,7440,8892,7949,9794,5184,5595,3743,4321,1896,2146,1006,1215,915,938,446,575,312,321,255,297,848,970,5512,6037,10910,13179,4415,5736,1896,2268,927,1096,407,566,306,321,143,174,130,142,70,86,4,40,161,462,282,494,199,284,75,110,36,59,12,13,4,7,9,7,6,6,1,10,30,52,40,51,18,29,26,25,8,8,8,13,7,9,3,5,23,12,83,40,501,284,1286,866,3071,2568,3475,2897,3777,3760,2838,2728,2694,2633,2726,2686,2067,2105,2891,2661,9717,9753
Sivas-58,34284.0,33266.0,549.0,474.0,763.0,699.0,632.0,538.0,883.0,797.0,365.0,378.0,333.0,322.0,474.0,387.0,741.0,723.0,1571.0,1365.0,2106.0,2028.0,3390.0,3033.0,13627.0,13328.0,38721.0,38419.0,4326.0,12165.0,124.0,154.0,66.0,91.0,689.0,245.0,7591.0,6200.0,9974.0,9527.0,10958.0,10593.0,10930.0,11326.0,14516.0,13374.0,14628.0,14925.0,15111.0,14979.0,27040.0,27398.0,30.0,,33718.0,26259.0,2290.0,4409.0,12.0,30.0,66.0,13.0,4480.0,2206.0,5920.0,6343.0,5724.0,5632.0,5041.0,5575.0,4650.0,4809.0,2839.0,3111.0,2165.0,2285.0,2324.0,2537.0,2459.0,235.0,31233.0,31509.0,11586.0,12030.0,11708.0,10987.0,12124.0,11915.0,12253.0,12416.0,9354.0,9935.0,7059.0,7442.0,6751.0,6722.0,4537.0,5171.0,2807.0,2944.0,2614.0,2900.0,1536.0,1792.0,8653.0,8917.0,16306.0,16431.0,11231.0,11020.0,7733.0,7888.0,5222.0,5473.0,3728.0,3967.0,2514.0,2681.0,1818.0,1835.0,1602.0,1711.0,1390.0,1559.0,2.0,111.0,334.0,1107.0,786.0,1338.0,759.0,1052.0,471.0,565.0,339.0,374.0,216.0,219.0,75.0,91.0,65.0,53.0,42.0,54.0,14.0,45.0,121.0,231.0,236.0,356.0,209.0,274.0,252.0,289.0,184.0,227.0,87.0,105.0,65.0,77.0,45.0,52.0,66.0,16.0,2.0,1.0,10.0,6.0,79.0,47.0,248.0,206.0,318.0,307.0,394.0,360.0,448.0,426.0,633.0,604.0,1312.0,1126.0,1932.0,1843.0,3625.0,3182.0,23261.0,22297.0
Tekirdağ-59,53639.0,54946.0,755.0,593.0,1824.0,1529.0,1999.0,1600.0,2982.0,2664.0,1355.0,1423.0,1130.0,1258.0,1132.0,1084.0,1109.0,1199.0,1651.0,1565.0,1790.0,1811.0,2338.0,2299.0,11699.0,11525.0,54908.0,56801.0,6967.0,18704.0,412.0,580.0,213.0,376.0,1409.0,1066.0,13000.0,11280.0,17552.0,17149.0,17934.0,17893.0,18279.0,18924.0,23857.0,22435.0,25614.0,26142.0,24876.0,25211.0,42349.0,45302.0,54.0,,44567.0,34770.0,3723.0,6131.0,48.0,80.0,172.0,67.0,9134.0,4674.0,11183.0,12890.0,10275.0,10750.0,8674.0,9694.0,7065.0,7573.0,4686.0,5125.0,3709.0,3909.0,5262.0,5758.0,1593.0,173.0,30978.0,31801.0,15508.0,16052.0,23560.0,23211.0,26185.0,26337.0,27683.0,28845.0,19331.0,21143.0,14323.0,15837.0,11189.0,11589.0,8128.0,9080.0,4780.0,5405.0,4308.0,4935.0,1982.0,2272.0,10828.0,11271.0,24413.0,25508.0,19296.0,20133.0,14487.0,15387.0,9428.0,10445.0,6303.0,6936.0,4346.0,4663.0,3094.0,3239.0,2709.0,2865.0,3133.0,3520.0,1.0,121.0,761.0,1348.0,1349.0,1936.0,1362.0,1745.0,917.0,1093.0,625.0,697.0,405.0,439.0,196.0,235.0,147.0,151.0,140.0,179.0,30.0,31.0,143.0,199.0,300.0,347.0,274.0,359.0,243.0,281.0,152.0,203.0,90.0,112.0,41.0,45.0,61.0,65.0,301.0,107.0,22.0,8.0,118.0,78.0,270.0,219.0,621.0,549.0,619.0,587.0,524.0,549.0,481.0,451.0,547.0,570.0,949.0,882.0,1117.0,1138.0,1563.0,1552.0,7472.0,7401.0
Tokat-60,31667.0,30809.0,325.0,294.0,778.0,631.0,859.0,692.0,1180.0,994.0,666.0,624.0,586.0,563.0,816.0,705.0,1138.0,1103.0,2369.0,2075.0,3339.0,3124.0,6375.0,5725.0,27116.0,26699.0,36431.0,35768.0,4827.0,12286.0,187.0,219.0,95.0,141.0,778.0,279.0,8273.0,6763.0,11147.0,10357.0,12711.0,12094.0,12533.0,13011.0,18291.0,16664.0,16830.0,17948.0,18096.0,17626.0,29978.0,31448.0,46.0,,32592.0,25497.0,2438.0,4109.0,20.0,42.0,78.0,28.0,3908.0,1997.0,5510.0,5970.0,5595.0,5632.0,4924.0,5459.0,4575.0,4835.0,2697.0,3096.0,1922.0,1988.0,1939.0,2162.0,2637.0,311.0,26955.0,26248.0,9078.0,9482.0,9387.0,8918.0,9664.0,9793.0,10622.0,10563.0,7656.0,8259.0,5668.0,6147.0,5455.0,5428.0,4005.0,4484.0,2315.0,2513.0,1794.0,2019.0,1728.0,1739.0,7971.0,8071.0,12720.0,13292.0,9085.0,9017.0,7176.0,7201.0,4970.0,5304.0,3532.0,3806.0,2698.0,2793.0,2106.0,2238.0,1966.0,2053.0,1615.0,1825.0,2.0,96.0,372.0,811.0,666.0,1052.0,744.0,961.0,470.0,597.0,315.0,341.0,200.0,220.0,113.0,108.0,79.0,88.0,54.0,62.0,20.0,41.0,140.0,214.0,205.0,284.0,184.0,242.0,153.0,189.0,108.0,127.0,42.0,55.0,26.0,24.0,25.0,38.0,264.0,76.0,16.0,13.0,14.0,15.0,96.0,61.0,242.0,194.0,231.0,244.0,277.0,254.0,254.0,256.0,356.0,359.0,738.0,647.0,978.0,953.0,2013.0,1832.0,11517.0,11101.0
Trabzon-61,39819.0,39565.0,401.0,374.0,541.0,457.0,385.0,348.0,616.0,567.0,317.0,332.0,333.0,326.0,433.0,356.0,751.0,686.0,2175.0,1833.0,3146.0,2976.0,5259.0,5027.0,21730.0,21379.0,43200.0,42833.0,3711.0,13065.0,100.0,116.0,68.0,94.0,451.0,143.0,6766.0,5352.0,10173.0,9238.0,12463.0,11686.0,13582.0,13645.0,20357.0,18734.0,19331.0,19946.0,19160.0,19456.0,32204.0,33345.0,61.0,,40488.0,31207.0,2545.0,4270.0,5.0,44.0,49.0,13.0,4897.0,2349.0,6826.0,7348.0,6596.0,6654.0,6350.0,6768.0,6104.0,6338.0,3901.0,4232.0,3057.0,3224.0,3028.0,3413.0,2095.0,370.0,39394.0,40214.0,15655.0,16157.0,16855.0,16020.0,18903.0,19095.0,19243.0,19546.0,14732.0,15841.0,11580.0,12787.0,11134.0,11262.0,7599.0,8724.0,4244.0,4766.0,3428.0,3884.0,1976.0,1991.0,11868.0,11464.0,22062.0,22401.0,15716.0,15911.0,12336.0,12559.0,9351.0,9855.0,6392.0,6882.0,5016.0,5224.0,3753.0,3868.0,3543.0,3710.0,3596.0,3971.0,6.0,189.0,876.0,1612.0,1378.0,2100.0,1213.0,1608.0,893.0,1089.0,661.0,804.0,379.0,430.0,207.0,237.0,173.0,166.0,134.0,158.0,50.0,58.0,341.0,411.0,449.0,545.0,372.0,436.0,354.0,424.0,284.0,322.0,137.0,162.0,80.0,89.0,95.0,132.0,249.0,63.0,3.0,1.0,17.0,5.0,116.0,87.0,325.0,270.0,349.0,336.0,402.0,404.0,418.0,395.0,525.0,489.0,1230.0,1034.0,1853.0,1730.0,3273.0,3092.0,23778.0,22674.0
Tunceli-62,2770.0,2796.0,28.0,20.0,187.0,110.0,66.0,51.0,67.0,62.0,78.0,62.0,52.0,49.0,66.0,66.0,91.0,78.0,188.0,158.0,251.0,262.0,509.0,435.0,1966.0,1939.0,2896.0,2827.0,158.0,802.0,60.0,61.0,14.0,10.0,42.0,22.0,570.0,468.0,1022.0,921.0,1216.0,1143.0,1227.0,1298.0,1713.0,1557.0,1514.0,1588.0,1869.0,1800.0,3617.0,3712.0,3.0,,2874.0,2113.0,250.0,496.0,,1.0,7.0,2.0,434.0,200.0,768.0,797.0,804.0,762.0,690.0,772.0,646.0,643.0,380.0,471.0,300.0,312.0,346.0,376.0,153.0,40.0,3892.0,3875.0,2759.0,2985.0,2909.0,2961.0,2077.0,2079.0,2129.0,2070.0,1390.0,1523.0,950.0,1053.0,1066.0,972.0,707.0,856.0,454.0,509.0,369.0,392.0,304.0,284.0,1605.0,1604.0,3919.0,3807.0,2425.0,2495.0,1529.0,1524.0,866.0,932.0,558.0,642.0,383.0,381.0,207.0,249.0,222.0,229.0,167.0,192.0,,15.0,66.0,146.0,185.0,256.0,129.0,182.0,64.0,76.0,43.0,54.0,22.0,22.0,14.0,16.0,10.0,13.0,12.0,13.0,1.0,4.0,23.0,47.0,40.0,64.0,21.0,27.0,10.0,19.0,8.0,11.0,6.0,8.0,2.0,3.0,2.0,4.0,20.0,6.0,,,4.0,,15.0,8.0,29.0,19.0,58.0,56.0,57.0,57.0,67.0,50.0,84.0,95.0,196.0,140.0,275.0,281.0,606.0,531.0,3994.0,3831.0
Uşak-64,17579.0,17179.0,136.0,133.0,277.0,234.0,310.0,252.0,457.0,405.0,197.0,192.0,170.0,173.0,161.0,154.0,252.0,237.0,579.0,493.0,944.0,892.0,1904.0,1659.0,11491.0,11158.0,18992.0,18987.0,2470.0,6299.0,57.0,65.0,25.0,37.0,289.0,90.0,4451.0,3601.0,6263.0,5817.0,7091.0,6873.0,8081.0,8184.0,11129.0,10227.0,11191.0,11660.0,11136.0,10938.0,18976.0,20075.0,9.0,,15723.0,12747.0,891.0,1923.0,6.0,10.0,49.0,12.0,3082.0,1522.0,3976.0,4330.0,3382.0,3495.0,2918.0,3170.0,2510.0,2595.0,1553.0,1676.0,1177.0,1281.0,1065.0,1180.0,1694.0,119.0,14529.0,16789.0,5199.0,5701.0,6675.0,6282.0,6885.0,7223.0,6968.0,6940.0,5204.0,5603.0,3795.0,4166.0,3525.0,3458.0,2641.0,3059.0,1506.0,1651.0,1231.0,1396.0,842.0,878.0,3997.0,4217.0,7387.0,7516.0,5875.0,5936.0,4598.0,4643.0,3479.0,3714.0,2288.0,2466.0,1661.0,1749.0,1499.0,1420.0,1382.0,1457.0,1212.0,1408.0,2.0,45.0,213.0,377.0,478.0,636.0,451.0,646.0,294.0,381.0,196.0,224.0,129.0,151.0,66.0,76.0,41.0,42.0,38.0,46.0,14.0,12.0,86.0,156.0,151.0,195.0,106.0,136.0,107.0,128.0,58.0,74.0,30.0,34.0,6.0,12.0,14.0,15.0,100.0,20.0,3.0,2.0,13.0,10.0,27.0,21.0,81.0,75.0,88.0,98.0,110.0,101.0,98.0,86.0,138.0,128.0,277.0,242.0,462.0,419.0,926.0,824.0,5376.0,5148.0
Van-65,101051,97927,5626,3700,14430,11432,12944,11502,17996,17115,9940,10014,9053,9467,8065,7376,5606,6494,7636,7164,4900,5339,4728,4820,7907,8291,103187,103531,31409,48111,2569,3786,665,1146,3314,2749,18792,16604,21151,21961,18459,17351,11258,13507,14441,13799,8575,9523,7224,7443,8818,9471,877,49,65905,49630,10108,15630,66,282,261,136,5693,2894,6907,7871,5319,5316,3332,4157,3139,3247,1450,1685,1018,1105,923,1060,3093,1529,30931,32245,15014,15228,15436,15551,12378,12968,10976,11580,7398,7805,4152,4909,3962,3930,2257,2578,1310,1463,1048,1164,1682,1867,9418,9757,21642,22851,12534,13310,6900,7474,3850,4114,2037,2475,1538,1588,995,1083,660,765,368,433,1,101,409,1257,870,1591,779,1160,417,499,226,281,139,137,66,78,33,32,15,19,11,36,65,125,226,356,188,282,159,205,146,178,55,72,30,42,27,30,147,44,397,133,1757,1317,2735,2066,5946,5090,5447,4838,5116,5137,4592,3956,3518,3874,5953,5284,5069,5123,6480,6178,19193,19044
Yalova-77,11901.0,11953.0,173.0,159.0,317.0,296.0,310.0,282.0,475.0,439.0,250.0,275.0,204.0,196.0,203.0,210.0,209.0,217.0,333.0,307.0,430.0,421.0,671.0,633.0,2722.0,2719.0,12214.0,12563.0,1187.0,3909.0,87.0,107.0,61.0,70.0,266.0,194.0,2127.0,1854.0,3016.0,2904.0,3506.0,3382.0,3791.0,3841.0,5050.0,4723.0,5602.0,5769.0,5988.0,6143.0,12971.0,13565.0,9.0,,11169.0,8645.0,924.0,1421.0,8.0,12.0,30.0,20.0,1594.0,761.0,2242.0,2422.0,2430.0,2416.0,2165.0,2427.0,2115.0,2229.0,1660.0,1803.0,1374.0,1508.0,2202.0,2408.0,352.0,49.0,8995.0,9768.0,3935.0,4013.0,4632.0,4504.0,5243.0,5172.0,5871.0,6022.0,4584.0,4937.0,3709.0,4097.0,3624.0,3617.0,2847.0,3264.0,1742.0,1927.0,2443.0,2699.0,610.0,677.0,2997.0,3030.0,6008.0,6296.0,4704.0,5018.0,4059.0,4138.0,3198.0,3427.0,2464.0,2726.0,1748.0,1802.0,1365.0,1469.0,1142.0,1227.0,1647.0,1842.0,,34.0,232.0,366.0,480.0,608.0,432.0,531.0,371.0,434.0,281.0,339.0,174.0,209.0,120.0,129.0,64.0,81.0,86.0,98.0,6.0,7.0,56.0,83.0,70.0,119.0,79.0,91.0,66.0,95.0,47.0,61.0,21.0,25.0,18.0,21.0,30.0,33.0,80.0,16.0,6.0,6.0,8.0,9.0,56.0,30.0,159.0,129.0,132.0,130.0,127.0,121.0,131.0,124.0,154.0,146.0,246.0,220.0,302.0,309.0,480.0,470.0,2941.0,2859.0
Yozgat-66,25465.0,23820.0,1337.0,1373.0,1576.0,1440.0,994.0,940.0,1010.0,943.0,291.0,292.0,245.0,237.0,304.0,267.0,430.0,401.0,938.0,837.0,1218.0,1120.0,2203.0,2052.0,9129.0,9052.0,25300.0,24961.0,3045.0,7886.0,87.0,111.0,28.0,64.0,604.0,247.0,5890.0,4849.0,7853.0,7311.0,9275.0,8788.0,9414.0,9550.0,13467.0,12364.0,12066.0,12621.0,13102.0,12653.0,23582.0,24797.0,37.0,,22009.0,17186.0,1476.0,3130.0,9.0,20.0,37.0,7.0,2758.0,1281.0,3578.0,3800.0,3660.0,3618.0,3415.0,3659.0,3206.0,3267.0,1798.0,2031.0,1371.0,1404.0,1359.0,1523.0,2070.0,197.0,15704.0,16294.0,6070.0,6195.0,8462.0,7621.0,8040.0,8171.0,7756.0,7789.0,5472.0,5986.0,3827.0,4154.0,3857.0,3803.0,2171.0,2603.0,1261.0,1309.0,1081.0,1270.0,1083.0,987.0,5267.0,5139.0,8985.0,9094.0,5664.0,5726.0,3921.0,4018.0,2394.0,2542.0,1738.0,1906.0,1435.0,1463.0,993.0,1033.0,843.0,883.0,529.0,621.0,3.0,64.0,230.0,546.0,417.0,717.0,415.0,529.0,206.0,238.0,139.0,153.0,73.0,93.0,37.0,39.0,26.0,26.0,22.0,27.0,8.0,32.0,80.0,125.0,105.0,149.0,95.0,118.0,63.0,84.0,44.0,36.0,20.0,32.0,10.0,14.0,13.0,15.0,88.0,38.0,101.0,76.0,64.0,70.0,92.0,62.0,236.0,207.0,224.0,209.0,220.0,236.0,256.0,220.0,299.0,293.0,713.0,618.0,919.0,862.0,2012.0,1824.0,12205.0,11879.0
Zonguldak-67,29572.0,28478.0,185.0,167.0,380.0,320.0,329.0,278.0,513.0,448.0,254.0,252.0,215.0,206.0,255.0,209.0,629.0,529.0,1431.0,1208.0,2685.0,2462.0,3868.0,3702.0,10559.0,10766.0,32306.0,32011.0,2263.0,9174.0,55.0,74.0,21.0,42.0,343.0,97.0,7379.0,5819.0,10079.0,9273.0,12515.0,11772.0,14712.0,14100.0,19828.0,18753.0,21047.0,21388.0,19029.0,19246.0,27839.0,29725.0,18.0,,29254.0,23044.0,1516.0,2503.0,5.0,17.0,45.0,7.0,4383.0,2334.0,6227.0,6704.0,5665.0,5801.0,5231.0,5558.0,4516.0,4671.0,3074.0,3355.0,2236.0,2373.0,1987.0,2265.0,1774.0,135.0,24038.0,25368.0,9531.0,9544.0,12275.0,11247.0,13880.0,13731.0,14806.0,14729.0,10493.0,11570.0,6798.0,7419.0,6334.0,6204.0,5572.0,6028.0,3203.0,3574.0,2723.0,3125.0,1386.0,1512.0,7443.0,7142.0,13148.0,13489.0,9575.0,9528.0,7748.0,7796.0,5545.0,5817.0,4238.0,4461.0,2963.0,3105.0,2161.0,2218.0,1876.0,2035.0,1640.0,1838.0,,95.0,389.0,813.0,714.0,1020.0,796.0,967.0,442.0,570.0,340.0,375.0,178.0,207.0,107.0,97.0,88.0,94.0,84.0,100.0,17.0,32.0,130.0,187.0,239.0,303.0,152.0,196.0,146.0,160.0,73.0,94.0,31.0,54.0,27.0,27.0,38.0,44.0,84.0,27.0,8.0,5.0,9.0,6.0,92.0,50.0,323.0,258.0,409.0,376.0,410.0,411.0,492.0,440.0,691.0,606.0,1484.0,1245.0,2922.0,2657.0,4655.0,4343.0,19649.0,19277.0
